lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked,error
de,moon,Mond,"A ""moon"" is a natural satellite that orbits around a planet. Answer: ""moon"".","Ein ""Mond"" ist ein natürlicher Satellit, der einen Planeten umkreist. Antwort: ""Mond"".","Ein ""___"" ist ein natürlicher Satellit, der einen Planeten umkreist. Antwort: ""Mond"".",no error
de,wood,Holz,"A ""wood"" is used to make furniture. Answer: ""wood"".","Ein ""Holz"" wird für die Herstellung von Möbeln verwendet. Antwort: ""Holz"".","Ein ""___"" wird für die Herstellung von Möbeln verwendet. Antwort: ""Holz"".",no error
de,village,Dorf,"A ""village"" is a small community or group of houses in a rural area. Answer: ""village"".","Ein ""Dorf"" ist eine kleine Gemeinschaft oder Gruppe von Häusern in einem ländlichen Gebiet. Antwort: ""Dorf"".","Ein ""___"" ist eine kleine Gemeinschaft oder Gruppe von Häusern in einem ländlichen Gebiet. Antwort: ""Dorf"".",no error
de,forest,Wald,"A ""forest"" is a large area covered chiefly with trees and undergrowth. Answer: ""forest"".","Ein ""Wald"" ist ein großes Gebiet, das hauptsächlich mit Bäumen und Unterholz bedeckt ist. Antwort: ""Wald"".","Ein ""___"" ist ein großes Gebiet, das hauptsächlich mit Bäumen und Unterholz bedeckt ist. Antwort: ""Wald"".",no error
de,grid,Gitter,"A ""grid"" is a network of lines that cross each other to form a series of squares or rectangles. Answer: ""grid"".","Ein ""Gitter"" ist ein Netz von Linien, die sich kreuzen und eine Reihe von Quadraten oder Rechtecken bilden. Antwort: ""Gitter"".","Ein ""___"" ist ein Netz von Linien, die sich kreuzen und eine Reihe von Quadraten oder Rechtecken bilden. Antwort: ""Gitter"".",no error
de,song,Lied,"A ""song"" is a piece of music with words that is sung. Answer: ""song"".","Ein ""Lied"" ist ein Musikstück mit Text, das gesungen wird. Antwort: ""Lied"".","Ein ""___"" ist ein Musikstück mit Text, das gesungen wird. Antwort: ""Lied"".",no error
de,water,Wasser,"""A ""water"" is essential for life and is used for drinking and cleaning. Answer: ""water"".""","""A ""Wasser"" ist lebensnotwendig und wird zum Trinken und Reinigen verwendet. Antwort: ""Wasser"".""","""A ""___"" ist lebensnotwendig und wird zum Trinken und Reinigen verwendet. Antwort: ""Wasser"".",no error
de,pond,Teich,"A ""pond"" is a small body of still water. Answer: ""pond"".","Ein ""Teich"" ist ein kleines Gewässer mit ruhigem Wasser. Antwort: ""Teich"".","Ein ""___"" ist ein kleines Gewässer mit ruhigem Wasser. Antwort: ""Teich"".",no error
de,sand,Sand,"""A ""sand"" is used to build castles at the beach. Answer: ""sand"".""","""Ein ""Sand"" wird zum Bauen von Burgen am Strand verwendet. Antwort: ""Sand"".""","""Ein ""___"" wird zum Bauen von Burgen am Strand verwendet. Antwort: ""Sand"".",no error
de,river,Fluss,"A ""river"" is a large, flowing body of water that usually empties into a sea or ocean. Answer: ""river"".","Ein ""Fluss"" ist ein großer, fließender Wasserkörper, der normalerweise in ein Meer oder einen Ozean mündet. Antwort: ""Fluss"".","Ein ""___"" ist ein großer, fließender Wasserkörper, der normalerweise in ein Meer oder einen Ozean mündet. Antwort: ""Fluss"".",no error
de,law,Gesetz,"'A ""law"" is a system of rules that a society or government develops in order to deal with crime, business agreements, and social relationships. Answer: ""law"".'","Ein ""Gesetz"" ist ein System von Regeln, das eine Gesellschaft oder eine Regierung entwickelt, um mit Verbrechen, Geschäftsvereinbarungen und sozialen Beziehungen umzugehen. Antwort: ""Gesetz"".'","Ein ""___"" ist ein System von Regeln, das eine Gesellschaft oder eine Regierung entwickelt, um mit Verbrechen, Geschäftsvereinbarungen und sozialen Beziehungen umzugehen. Antwort: ""Gesetz"".",no error
de,wave,Welle,"A ""wave"" is a disturbance that transfers energy through matter or space. Answer: ""wave"".","Eine ""Welle"" ist eine Störung, die Energie durch Materie oder Raum überträgt. Antwort: ""Welle"".","Eine ""___"" ist eine Störung, die Energie durch Materie oder Raum überträgt. Antwort: ""Welle"".",no error
de,ocean,Ozean,"An ""ocean"" is a large body of salt water that covers most of the earth's surface. Answer: ""ocean"".","Ein ""Ozean"" ist ein großer Körper aus Salzwasser, der den größten Teil der Erdoberfläche bedeckt. Antwort: ""Ozean"".","Ein ""___"" ist ein großer Körper aus Salzwasser, der den größten Teil der Erdoberfläche bedeckt. Antwort: ""Ozean"".",no error
de,cave,Höhle,"A ""cave"" is a natural underground space large enough for a human to enter. Answer: ""cave"".","Eine ""Höhle"" ist ein natürlicher unterirdischer Raum, der groß genug ist, um von einem Menschen betreten zu werden. Antwort: ""Höhle"".","Eine ""___"" ist ein natürlicher unterirdischer Raum, der groß genug ist, um von einem Menschen betreten zu werden. Antwort: ""Höhle"".",no error
de,sea,Meer,"A ""sea"" is a large body of saltwater that is smaller than an ocean. Answer: ""sea"".","Ein ""Meer"" ist ein großer Salzwasserkörper, der kleiner als ein Ozean ist. Antwort: ""Meer"".","Ein ""___"" ist ein großer Salzwasserkörper, der kleiner als ein Ozean ist. Antwort: ""Meer"".",no error
de,lake,See,"A ""lake"" is a large body of water surrounded by land. Answer: ""lake"".","Ein ""See"" ist eine große Wasserfläche, die von Land umgeben ist. Antwort: ""See"".","Ein ""___"" ist eine große Wasserfläche, die von Land umgeben ist. Antwort: ""See"".",no error
de,source,Quelle,"A ""source"" is used to provide information or data. Answer: ""source"".","Eine ""Quelle"" wird verwendet, um Informationen oder Daten bereitzustellen. Antwort: ""Quelle"".","Eine ""___"" wird verwendet, um Informationen oder Daten bereitzustellen. Antwort: ""Quelle"".",no error
de,fire,Feuer,"A ""fire"" is used for cooking and providing warmth. Answer: ""fire"".","Ein ""Feuer"" wird zum Kochen und zum Wärmen verwendet. Antwort: ""Feuer"".","Ein ""___"" wird zum Kochen und zum Wärmen verwendet. Antwort: ""Feuer"".",no error
de,point,Punkt,"A ""point"" is a specific location in space. Answer: ""point"".","Ein ""Punkt"" ist ein bestimmter Ort im Raum. Antwort: ""Punkt"".","Ein ""___"" ist ein bestimmter Ort im Raum. Antwort: ""Punkt"".",no error
de,version,Version,"A ""version"" is used to denote different forms or stages in the development of something. Answer: ""version"".","Eine ""Version"" wird verwendet, um verschiedene Formen oder Stadien in der Entwicklung von etwas zu bezeichnen. Antwort: ""Version"".","Eine ""___"" wird verwendet, um verschiedene Formen oder Stadien in der Entwicklung von etwas zu bezeichnen. Antwort: ""Version"".",no error
de,ball,Ball,"A ""ball"" is used to play sports like soccer and basketball. Answer: ""ball"".","Ein ""Ball"" wird für Sportarten wie Fußball und Basketball verwendet. Antwort: ""Ball"".","Ein ""___"" wird für Sportarten wie Fußball und Basketball verwendet. Antwort: ""Ball"".",no error
de,painting,Gemälde,"A ""painting"" is a piece of art that can be hung on a wall. Answer: ""painting"".","Ein ""Gemälde"" ist ein Kunstwerk, das an die Wand gehängt werden kann. Antwort: ""Gemälde"".","Ein ""___"" ist ein Kunstwerk, das an die Wand gehängt werden kann. Antwort: ""Gemälde"".",no error
de,station,Bahnhof,"A ""station"" is a place where trains or buses regularly stop so that passengers can get on or off. Answer: ""station"".","Ein ""Bahnhof"" ist ein Ort, an dem Züge oder Busse regelmäßig halten, damit die Fahrgäste ein- oder aussteigen können. Antwort: ""Bahnhof"".","Ein ""___"" ist ein Ort, an dem Züge oder Busse regelmäßig halten, damit die Fahrgäste ein- oder aussteigen können. Antwort: ""Bahnhof"".",no error
de,rice,Reis,"A ""rice"" is a grain that is commonly used in cooking and is a staple food in many countries. Answer: ""rice"".","Ein ""Reis"" ist ein Getreide, das in der Küche häufig verwendet wird und in vielen Ländern ein Grundnahrungsmittel ist. Antwort: ""Reis"".","Ein ""___"" ist ein Getreide, das in der Küche häufig verwendet wird und in vielen Ländern ein Grundnahrungsmittel ist. Antwort: ""Reis"".",no error
de,red,rot,"'A ""red"" is a color often associated with love and passion. Answer: ""red"".'","A ""Rot"" ist eine Farbe, die oft mit Liebe und Leidenschaft assoziiert wird. Antwort: ""rot"".'","A ""___"" ist eine Farbe, die oft mit Liebe und Leidenschaft assoziiert wird. Antwort: ""rot"".",no error
de,line,Linie,"A ""line"" is a narrow continuous mark, as that made by a pen, pencil, or brush. Answer: ""line"".","Eine ""Linie"" ist eine schmale, durchgehende Markierung, wie sie mit einem Stift, Bleistift oder Pinsel gemacht wird. Antwort: ""Linie"".","Eine ""___"" ist eine schmale, durchgehende Markierung, wie sie mit einem Stift, Bleistift oder Pinsel gemacht wird. Antwort: ""Linie"".",no error
de,net,Netz,"A ""net"" is used in sports like volleyball and tennis to divide the playing area. Answer: ""net"".","Ein ""Netz"" wird bei Sportarten wie Volleyball und Tennis verwendet, um das Spielfeld zu unterteilen. Antwort: ""Netz"".","Ein ""___"" wird bei Sportarten wie Volleyball und Tennis verwendet, um das Spielfeld zu unterteilen. Antwort: ""Netz"".",no error
de,flower,Blume,"A ""flower"" is often given as a gift and can be found in gardens. Answer: ""flower"".","Eine ""Blume"" wird oft verschenkt und ist in Gärten zu finden. Antwort: ""Blume"".","Eine ""___"" wird oft verschenkt und ist in Gärten zu finden. Antwort: ""Blume"".",no error
de,tea,Tee,"A ""tea"" is a beverage often consumed for relaxation or warmth. Answer: ""tea"".","Ein ""Tee"" ist ein Getränk, das oft zur Entspannung oder zum Aufwärmen getrunken wird. Antwort: ""Tee"".","Ein ""___"" ist ein Getränk, das oft zur Entspannung oder zum Aufwärmen getrunken wird. Antwort: ""Tee"".",no error
de,foot,Fuß,"A ""foot"" is used for walking and running. Answer: ""foot"".","Ein ""Fuß"" wird zum Gehen und Laufen verwendet. Antwort: ""Fuß"".","Ein ""___"" wird zum Gehen und Laufen verwendet. Antwort: ""Fuß"".",no error
de,gold,Gold,"""A ""gold"" is a precious metal that is often used in jewelry. Answer: ""gold"".""","""A ""Gold"" ist ein Edelmetall, das häufig für die Herstellung von Schmuck verwendet wird. Antwort: ""Gold"".""","""A ""___"" ist ein Edelmetall, das häufig für die Herstellung von Schmuck verwendet wird. Antwort: ""Gold"".",no error
de,door,Tür,"A ""door"" is used for entering or exiting a room. Answer: ""door"".","Eine ""Tür"" wird zum Betreten oder Verlassen eines Raumes verwendet. Antwort: ""Tür"".","Eine ""___"" wird zum Betreten oder Verlassen eines Raumes verwendet. Antwort: ""Tür"".",no error
de,snow,Schnee,"""A ""snow"" is a form of precipitation that falls from the sky during winter. Answer: ""snow"".""","""Ein ""Schnee"" ist eine Form von Niederschlag, der im Winter vom Himmel fällt. Antwort: ""Schnee"".""","""Ein ""___"" ist eine Form von Niederschlag, der im Winter vom Himmel fällt. Antwort: ""Schnee"".",no error
de,horse,Pferd,"A ""horse"" is a large domesticated animal with four legs, commonly used for riding and racing. Answer: ""horse"".","Ein ""Pferd"" ist ein großes, vierbeiniges Haustier, das in der Regel zum Reiten und für Rennen verwendet wird. Antwort: ""Pferd"".","Ein ""___"" ist ein großes, vierbeiniges Haustier, das in der Regel zum Reiten und für Rennen verwendet wird. Antwort: ""Pferd"".",no error
de,one,eins,"A ""one"" is a number that comes after zero and before two. Answer: ""one"".","Eine ""Eins"" ist eine Zahl, die nach der Null und vor der Zwei kommt. Antwort: ""Eins"".","Eine ""___"" ist eine Zahl, die nach der Null und vor der Zwei kommt. Antwort: ""Eins"".",no error
de,two,zwei,"The number ""two"" is the sum of one plus one. Answer: ""two"".","Die Zahl ""zwei"" ist die Summe von eins plus eins. Antwort: ""zwei"".","Die Zahl ""___"" ist die Summe von eins plus eins. Antwort: ""zwei"".",no error
de,three,drei,"The number that comes after two is ""three"". Answer: ""three"".","Die Zahl, die auf die Zwei folgt, ist die Drei. Antwort: ""drei"".","Die Zahl, die auf die Zwei folgt, ist die ""___"". Antwort: ""drei"".",no error
de,four,vier,"The number ""four"" is the integer that comes after three. Answer: ""four"".","Die Zahl ""vier"" ist die ganze Zahl, die auf die Drei folgt. Antwort: ""vier"".","Die Zahl ""___"" ist die ganze Zahl, die auf die Drei folgt. Antwort: ""vier"".",no error
de,five,fünf,"The number that comes after four is ""five"". Answer: ""five"".","Die Zahl, die auf die Vier folgt, ist die Fünf. Antwort: ""fünf"".","Die Zahl, die auf die Vier folgt, ist die ""___"". Antwort: ""fünf"".",no error
de,six,sechs,"The number that comes after five is ""six"". Answer: ""six"".","Die Zahl nach der Fünf ist ""Sechs"". Antwort: ""sechs"".","Die Zahl nach der Fünf ist ""___"". Antwort: ""sechs"".",no error
de,seven,sieben,"The number ""seven"" comes after six. Answer: ""seven"".","Die Zahl ""Sieben"" kommt nach der Sechs. Antwort: ""Sieben"".","Die Zahl ""___"" kommt nach der Sechs. Antwort: ""Sieben"".",no error
de,eight,acht,"The number ""eight"" comes after seven. Answer: ""eight"".","Die Zahl ""Acht"" kommt nach der Sieben. Antwort: ""Acht"".","Die Zahl ""___"" kommt nach der Sieben. Antwort: ""Acht"".",no error
de,nine,neun,"The number that comes after eight is ""nine"". Answer: ""nine"".","Die Zahl nach der Acht ist die ""Neun"". Antwort: ""Neun"".","Die Zahl nach der Acht ist die ""___"". Antwort: ""Neun"".",no error
de,ten,zehn,"The number that comes after nine is ""ten"". Answer: ""ten"".","Die Zahl nach der Neun ist die ""Zehn"". Antwort: ""zehn"".","Die Zahl nach der Neun ist die ""___"". Antwort: ""zehn"".",no error
de,head,Kopf,"'A ""head"" is a part of the body that contains the brain, eyes, ears, nose, and mouth. Answer: ""head"".'","Ein ""Kopf"" ist ein Teil des Körpers, der das Gehirn, die Augen, die Ohren, die Nase und den Mund enthält. Antwort: ""Kopf"".'","Ein ""___"" ist ein Teil des Körpers, der das Gehirn, die Augen, die Ohren, die Nase und den Mund enthält. Antwort: ""Kopf"".",no error
de,strip,Streifen,"A ""strip"" is a long, narrow piece of a certain material. Answer: ""strip"".","Ein ""Streifen"" ist ein langes, schmales Stück eines bestimmten Materials. Antwort: ""Streifen"".","Ein ""___"" ist ein langes, schmales Stück eines bestimmten Materials. Antwort: ""Streifen"".",no error
de,street,Straße,"A ""street"" is a public road in a city, town, or village. Answer: ""street"".","Eine ""Straße"" ist eine öffentliche Straße in einer Stadt, einer Gemeinde oder einem Dorf. Antwort: ""Straße"".","Eine ""___"" ist eine öffentliche Straße in einer Stadt, einer Gemeinde oder einem Dorf. Antwort: ""Straße"".",no error
de,part,Teil,"A ""part"" is used to make up a whole. Answer: ""part"".","Ein ""Teil"" wird verwendet, um ein Ganzes zu bilden. Antwort: ""Teil"".","Ein ""___"" wird verwendet, um ein Ganzes zu bilden. Antwort: ""Teil"".",no error
de,eye,Auge,"A ""eye"" is used to see everything around us. Answer: ""eye"".","Ein ""Auge"" dient dazu, alles um uns herum zu sehen. Antwort: ""Auge"".","Ein ""___"" dient dazu, alles um uns herum zu sehen. Antwort: ""Auge"".",no error
de,field,Feld,"A ""field"" is a wide area of open land where crops are grown. Answer: ""field"".","Ein ""Feld"" ist eine große offene Fläche, auf der Pflanzen angebaut werden. Antwort: ""Feld"".","Ein ""___"" ist eine große offene Fläche, auf der Pflanzen angebaut werden. Antwort: ""Feld"".",no error
de,site,Standort,"A ""site"" is a location where something is, was, or will be built. Answer: ""site"".","Ein ""Standort"" ist ein Ort, an dem etwas gebaut wird, wurde oder wird. Antwort: ""Standort"".","Ein ""___"" ist ein Ort, an dem etwas gebaut wird, wurde oder wird. Antwort: ""Standort"".",no error
de,word,Wort,"A ""word"" is a single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed. Answer: ""word"".","Ein ""Wort"" ist ein einzelnes bedeutungsvolles sprachliches oder schriftliches Element, das zusammen mit anderen (oder manchmal auch allein) zur Bildung eines Satzes verwendet wird und in der Regel mit einem Leerzeichen auf beiden Seiten geschrieben oder gedruckt wird. Antwort: ""Wort"".","Ein ""___"" ist ein einzelnes bedeutungsvolles sprachliches oder schriftliches Element, das zusammen mit anderen (oder manchmal auch allein) zur Bildung eines Satzes verwendet wird und in der Regel mit einem Leerzeichen auf beiden Seiten geschrieben oder gedruckt wird. Antwort: ""Wort"".",no error
de,pair,Paar,"""A ""pair"" is a set of two things used together or regarded as a unit. Answer: ""pair"".""","""Ein ""Paar"" ist ein Satz von zwei Dingen, die zusammen verwendet oder als Einheit betrachtet werden. Antwort: ""Paar"".""","""Ein ""___"" ist ein Satz von zwei Dingen, die zusammen verwendet oder als Einheit betrachtet werden. Antwort: ""Paar"".",no error
de,seat,Sitz,"A ""seat"" is used to sit and rest. Answer: ""seat"".","Ein ""Sitz"" wird zum Sitzen und Ausruhen verwendet. Antwort: ""Sitz"".","Ein ""___"" wird zum Sitzen und Ausruhen verwendet. Antwort: ""Sitz"".",no error
de,light,Licht,"A ""light"" is used to illuminate dark spaces. Answer: ""light"".","Ein ""Licht"" wird verwendet, um dunkle Räume zu beleuchten. Antwort: ""Licht"".","Ein ""___"" wird verwendet, um dunkle Räume zu beleuchten. Antwort: ""Licht"".",no error
de,thousand,tausend,"A ""thousand"" is a numerical value that comes after nine hundred ninety-nine. Answer: ""thousand"".","Ein ""Tausend"" ist ein Zahlenwert, der auf neunhundertneunundneunzig folgt. Antwort: ""Tausend"".","Ein ""___"" ist ein Zahlenwert, der auf neunhundertneunundneunzig folgt. Antwort: ""Tausend"".",no error
de,north,Norden,"""The ""north"" is a cardinal direction often associated with cold and polar regions. Answer: ""north"".""","""Der ""Norden"" ist eine Himmelsrichtung, die oft mit kalten und polaren Regionen in Verbindung gebracht wird. Antwort: ""Norden"".""","""Der ""___"" ist eine Himmelsrichtung, die oft mit kalten und polaren Regionen in Verbindung gebracht wird. Antwort: ""Norden"".",no error
de,machine,Maschine,"A ""machine"" is used to perform a specific task or produce something. Answer: ""machine"".","Eine ""Maschine"" wird verwendet, um eine bestimmte Aufgabe zu erfüllen oder etwas zu produzieren. Antwort: ""Maschine"".","Eine ""___"" wird verwendet, um eine bestimmte Aufgabe zu erfüllen oder etwas zu produzieren. Antwort: ""Maschine"".",no error
de,time,Zeit,"""A ""clock"" is used to measure ""time"". Answer: ""time"".""","""Eine ""Uhr"" wird zur Messung der ""Zeit"" verwendet. Antwort: ""Zeit"".""","""Eine ""Uhr"" wird zur Messung der ""___"" verwendet. Antwort: ""Zeit"".",no error
de,benefit,Nutzen,"A ""benefit"" is something that promotes or enhances well-being. Answer: ""benefit"".","Ein ""Nutzen"" ist etwas, das das Wohlbefinden fördert oder steigert. Antwort: ""Nutzen"".","Ein ""___"" ist etwas, das das Wohlbefinden fördert oder steigert. Antwort: ""Nutzen"".",no error
de,province,Provinz,"A ""province"" is a principal administrative division of certain countries or empires. Answer: ""province"".","Eine ""Provinz"" ist eine Hauptverwaltungseinheit bestimmter Länder oder Reiche. Antwort: ""Provinz"".","Eine ""___"" ist eine Hauptverwaltungseinheit bestimmter Länder oder Reiche. Antwort: ""Provinz"".",no error
de,exchange,Börse,"An ""exchange"" is a place where stocks, bonds, or other securities are bought and sold. Answer: ""exchange"".","Eine ""Börse"" ist ein Ort, an dem Aktien, Anleihen oder andere Wertpapiere gekauft und verkauft werden. Antwort: ""Börse"".","Eine ""___"" ist ein Ort, an dem Aktien, Anleihen oder andere Wertpapiere gekauft und verkauft werden. Antwort: ""Börse"".",no error
de,middle,Mitte,"""The ""middle"" is the point that is equally distant from the sides or outer boundaries of something. Answer: ""middle"".""","""Die ""Mitte"" ist der Punkt, der von den Seiten oder äußeren Begrenzungen einer Sache gleich weit entfernt ist. Antwort: ""Mitte"".""","""Die ""___"" ist der Punkt, der von den Seiten oder äußeren Begrenzungen einer Sache gleich weit entfernt ist. Antwort: ""Mitte"".",no error
de,friend,Freund,"A ""friend"" is someone you share a close personal relationship with. Answer: ""friend"".","Ein ""Freund"" ist jemand, mit dem Sie eine enge persönliche Beziehung haben. Antwort: ""Freund"".","Ein ""___"" ist jemand, mit dem Sie eine enge persönliche Beziehung haben. Antwort: ""Freund"".",no error
de,color,Farbe,"""A ""color"" is used to identify or describe the appearance of objects. Answer: ""color"".""","""Eine ""Farbe"" wird verwendet, um das Aussehen von Objekten zu identifizieren oder zu beschreiben. Antwort: ""Farbe"".""","""Eine ""___"" wird verwendet, um das Aussehen von Objekten zu identifizieren oder zu beschreiben. Antwort: ""Farbe"".",no error
de,kind,Art,"""A ""kind"" is a category or type of something. Answer: ""kind"".""","""Eine ""Art"" ist eine Kategorie oder ein Typ von etwas. Antwort: ""Art"".""","""Eine ""___"" ist eine Kategorie oder ein Typ von etwas. Antwort: ""Art"".",no error
de,judge,Richter,"A ""judge"" is a person who presides over court proceedings, either alone or as a part of a panel of judges. Answer: ""judge"".","Ein ""Richter"" ist eine Person, die entweder allein oder als Teil eines Gremiums von Richtern den Vorsitz in einem Gerichtsverfahren führt. Antwort: ""Richter"".","Ein ""___"" ist eine Person, die entweder allein oder als Teil eines Gremiums von Richtern den Vorsitz in einem Gerichtsverfahren führt. Antwort: ""Richter"".",no error
de,school,Schule,"A ""school"" is a place where students go to learn. Answer: ""school"".","Eine ""Schule"" ist ein Ort, an dem Schüler lernen. Antwort: ""Schule"".","Eine ""___"" ist ein Ort, an dem Schüler lernen. Antwort: ""Schule"".",no error
de,tie,Krawatte,"A ""tie"" is worn around the neck as part of formal attire. Answer: ""tie"".","Eine ""Krawatte"" wird als Teil der formellen Kleidung um den Hals getragen. Antwort: ""Krawatte"".","Eine ""___"" wird als Teil der formellen Kleidung um den Hals getragen. Antwort: ""Krawatte"".",no error
de,example,Beispiel,"An ""example"" is used to illustrate a point or concept. Answer: ""example"".","Ein ""Beispiel"" wird verwendet, um einen Punkt oder ein Konzept zu illustrieren. Antwort: ""Beispiel"".","Ein ""___"" wird verwendet, um einen Punkt oder ein Konzept zu illustrieren. Antwort: ""Beispiel"".",no error
de,face,Gesicht,"A ""face"" is the front part of a person's head, including the forehead, eyes, nose, and mouth. Answer: ""face"".","Ein ""Gesicht"" ist der vordere Teil des Kopfes einer Person, einschließlich der Stirn, der Augen, der Nase und des Mundes. Antwort: ""Gesicht"".","Ein ""___"" ist der vordere Teil des Kopfes einer Person, einschließlich der Stirn, der Augen, der Nase und des Mundes. Antwort: ""Gesicht"".",no error
de,bridge,Brücke,"A ""bridge"" is used to connect two areas separated by obstacles like rivers or roads. Answer: ""bridge"".","Eine ""Brücke"" wird verwendet, um zwei Gebiete zu verbinden, die durch Hindernisse wie Flüsse oder Straßen getrennt sind. Antwort: ""Brücke"".","Eine ""___"" wird verwendet, um zwei Gebiete zu verbinden, die durch Hindernisse wie Flüsse oder Straßen getrennt sind. Antwort: ""Brücke"".",no error
de,item,Gegenstand,"An ""item"" is a thing that is unspecified or unidentified. Answer: ""item"".","Ein ""Gegenstand"" ist eine Sache, die nicht spezifiziert oder nicht identifiziert ist. Antwort: ""Gegenstand"".","Ein ""___"" ist eine Sache, die nicht spezifiziert oder nicht identifiziert ist. Antwort: ""Gegenstand"".",no error
de,delete,löschen,"A ""delete"" is used to remove text or data. Answer: ""delete"".","Ein ""Löschen"" wird verwendet, um Text oder Daten zu entfernen. Antwort: ""löschen"".","Ein ""___"" wird verwendet, um Text oder Daten zu entfernen. Antwort: ""löschen"".",no error
de,group,Gruppe,"'A ""group"" is a number of people or things that are located, gathered, or classed together. Answer: ""group"".'","Eine ""Gruppe"" ist eine Anzahl von Menschen oder Dingen, die sich an einem bestimmten Ort befinden, die versammelt sind oder zusammengehören. Antwort: 'Gruppe'.'","Eine ""___"" ist eine Anzahl von Menschen oder Dingen, die sich an einem bestimmten Ort befinden, die versammelt sind oder zusammengehören. Antwort: 'Gruppe'.",no error
de,talent,Talent,"A ""talent"" is a natural aptitude or skill. Answer: ""talent"".","Ein ""Talent"" ist eine natürliche Begabung oder Fähigkeit. Antwort: ""Talent"".","Ein ""___"" ist eine natürliche Begabung oder Fähigkeit. Antwort: ""Talent"".",no error
