lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation
de,ocean,Ozean,"An ""ocean"" is a large body of salt water that covers most of the earth's surface. Answer: ""ocean"".","Ein ""Ozean"" ist ein großer Körper aus Salzwasser, der den größten Teil der Erdoberfläche bedeckt. Antwort: ""Ozean""."
de,cave,Höhle,"A ""cave"" is a natural underground space large enough for a human to enter. Answer: ""cave"".","Eine ""Höhle"" ist ein natürlicher unterirdischer Raum, der groß genug ist, um von einem Menschen betreten zu werden. Antwort: ""Höhle""."
de,sea,Meer,"A ""sea"" is a large body of saltwater that is smaller than an ocean. Answer: ""sea"".","Ein ""Meer"" ist ein großer Salzwasserkörper, der kleiner als ein Ozean ist. Antwort: ""Meer""."
de,lake,See,"A ""lake"" is a large body of water surrounded by land. Answer: ""lake"".","Ein ""See"" ist eine große Wasserfläche, die von Land umgeben ist. Antwort: ""See""."
de,source,Quelle,"A ""source"" is used to provide information or data. Answer: ""source"".","Eine ""Quelle"" wird verwendet, um Informationen oder Daten bereitzustellen. Antwort: ""Quelle""."
de,fire,Feuer,"A ""fire"" is used for cooking and providing warmth. Answer: ""fire"".","Ein ""Feuer"" wird zum Kochen und zum Wärmen verwendet. Antwort: ""Feuer""."
de,point,Punkt,"A ""point"" is a specific location in space. Answer: ""point"".","Ein ""Punkt"" ist ein bestimmter Ort im Raum. Antwort: ""Punkt""."
de,version,Version,"A ""version"" is used to denote different forms or stages in the development of something. Answer: ""version"".","Eine ""Version"" wird verwendet, um verschiedene Formen oder Stadien in der Entwicklung von etwas zu bezeichnen. Antwort: ""Version""."
de,ball,Ball,"A ""ball"" is used to play sports like soccer and basketball. Answer: ""ball"".","Ein ""Ball"" wird für Sportarten wie Fußball und Basketball verwendet. Antwort: ""Ball""."
de,painting,Gemälde,"A ""painting"" is a piece of art that can be hung on a wall. Answer: ""painting"".","Ein ""Gemälde"" ist ein Kunstwerk, das an die Wand gehängt werden kann. Antwort: ""Gemälde""."
de,station,Bahnhof,"A ""station"" is a place where trains or buses regularly stop so that passengers can get on or off. Answer: ""station"".","Ein ""Bahnhof"" ist ein Ort, an dem Züge oder Busse regelmäßig halten, damit die Fahrgäste ein- oder aussteigen können. Antwort: ""Bahnhof""."
de,rice,Reis,"A ""rice"" is a grain that is commonly used in cooking and is a staple food in many countries. Answer: ""rice"".","Ein ""Reis"" ist ein Getreide, das in der Küche häufig verwendet wird und in vielen Ländern ein Grundnahrungsmittel ist. Antwort: ""Reis""."
de,red,rot,"'A ""red"" is a color often associated with love and passion. Answer: ""red"".'","A ""Rot"" ist eine Farbe, die oft mit Liebe und Leidenschaft assoziiert wird. Antwort: ""rot"".'"
de,line,Linie,"A ""line"" is a narrow continuous mark, as that made by a pen, pencil, or brush. Answer: ""line"".","Eine ""Linie"" ist eine schmale, durchgehende Markierung, wie sie mit einem Stift, Bleistift oder Pinsel gemacht wird. Antwort: ""Linie""."
de,net,Netz,"A ""net"" is used in sports like volleyball and tennis to divide the playing area. Answer: ""net"".","Ein ""Netz"" wird bei Sportarten wie Volleyball und Tennis verwendet, um das Spielfeld zu unterteilen. Antwort: ""Netz""."
de,flower,Blume,"A ""flower"" is often given as a gift and can be found in gardens. Answer: ""flower"".","Eine ""Blume"" wird oft verschenkt und ist in Gärten zu finden. Antwort: ""Blume""."
de,tea,Tee,"A ""tea"" is a beverage often consumed for relaxation or warmth. Answer: ""tea"".","Ein ""Tee"" ist ein Getränk, das oft zur Entspannung oder zum Aufwärmen getrunken wird. Antwort: ""Tee""."
de,foot,Fuß,"A ""foot"" is used for walking and running. Answer: ""foot"".","Ein ""Fuß"" wird zum Gehen und Laufen verwendet. Antwort: ""Fuß""."
de,gold,Gold,"""A ""gold"" is a precious metal that is often used in jewelry. Answer: ""gold"".""","""A ""Gold"" ist ein Edelmetall, das häufig für die Herstellung von Schmuck verwendet wird. Antwort: ""Gold""."""
de,door,Tür,"A ""door"" is used for entering or exiting a room. Answer: ""door"".","Eine ""Tür"" wird zum Betreten oder Verlassen eines Raumes verwendet. Antwort: ""Tür""."
de,snow,Schnee,"""A ""snow"" is a form of precipitation that falls from the sky during winter. Answer: ""snow"".""","""Ein ""Schnee"" ist eine Form von Niederschlag, der im Winter vom Himmel fällt. Antwort: ""Schnee""."""
de,horse,Pferd,"A ""horse"" is a large domesticated animal with four legs, commonly used for riding and racing. Answer: ""horse"".","Ein ""Pferd"" ist ein großes, vierbeiniges Haustier, das in der Regel zum Reiten und für Rennen verwendet wird. Antwort: ""Pferd""."
de,yellow,gelb,"A ""banana"" is often yellow. Answer: ""banana"".","Eine ""Banane"" ist oft gelb. Antwort: ""Banane""."
de,white,weiß,"A ""chalk"" is often white and used for writing on blackboards. Answer: ""chalk"".","Eine ""Kreide"" ist oft weiß und wird zum Schreiben auf Tafeln verwendet. Antwort: ""Kreide""."
de,one,eins,"A ""one"" is a number that comes after zero and before two. Answer: ""one"".","Eine ""Eins"" ist eine Zahl, die nach der Null und vor der Zwei kommt. Antwort: ""Eins""."
de,two,zwei,"The number ""two"" is the sum of one plus one. Answer: ""two"".","Die Zahl ""zwei"" ist die Summe von eins plus eins. Antwort: ""zwei""."
de,three,drei,"The number that comes after two is ""three"". Answer: ""three"".","Die Zahl, die auf die Zwei folgt, ist die Drei. Antwort: ""drei""."
de,four,vier,"The number ""four"" is the integer that comes after three. Answer: ""four"".","Die Zahl ""vier"" ist die ganze Zahl, die auf die Drei folgt. Antwort: ""vier""."
de,five,fünf,"The number that comes after four is ""five"". Answer: ""five"".","Die Zahl, die auf die Vier folgt, ist die Fünf. Antwort: ""fünf""."
de,six,sechs,"The number that comes after five is ""six"". Answer: ""six"".","Die Zahl nach der Fünf ist ""Sechs"". Antwort: ""sechs""."
de,seven,sieben,"The number ""seven"" comes after six. Answer: ""seven"".","Die Zahl ""Sieben"" kommt nach der Sechs. Antwort: ""Sieben""."
de,eight,acht,"The number ""eight"" comes after seven. Answer: ""eight"".","Die Zahl ""Acht"" kommt nach der Sieben. Antwort: ""Acht""."
de,nine,neun,"The number that comes after eight is ""nine"". Answer: ""nine"".","Die Zahl nach der Acht ist die ""Neun"". Antwort: ""Neun""."
de,ten,zehn,"The number that comes after nine is ""ten"". Answer: ""ten"".","Die Zahl nach der Neun ist die ""Zehn"". Antwort: ""zehn""."
de,head,Kopf,"'A ""head"" is a part of the body that contains the brain, eyes, ears, nose, and mouth. Answer: ""head"".'","Ein ""Kopf"" ist ein Teil des Körpers, der das Gehirn, die Augen, die Ohren, die Nase und den Mund enthält. Antwort: ""Kopf"".'"
de,shop,Laden,"A ""shop"" is a place where you can buy goods or services. Answer: ""shop"".","Ein ""Geschäft"" ist ein Ort, an dem man Waren oder Dienstleistungen kaufen kann. Antwort: ""Laden""."
de,strip,Streifen,"A ""strip"" is a long, narrow piece of a certain material. Answer: ""strip"".","Ein ""Streifen"" ist ein langes, schmales Stück eines bestimmten Materials. Antwort: ""Streifen""."
de,street,Straße,"A ""street"" is a public road in a city, town, or village. Answer: ""street"".","Eine ""Straße"" ist eine öffentliche Straße in einer Stadt, einer Gemeinde oder einem Dorf. Antwort: ""Straße""."
de,part,Teil,"A ""part"" is used to make up a whole. Answer: ""part"".","Ein ""Teil"" wird verwendet, um ein Ganzes zu bilden. Antwort: ""Teil""."
de,eye,Auge,"A ""eye"" is used to see everything around us. Answer: ""eye"".","Ein ""Auge"" dient dazu, alles um uns herum zu sehen. Antwort: ""Auge""."
de,field,Feld,"A ""field"" is a wide area of open land where crops are grown. Answer: ""field"".","Ein ""Feld"" ist eine große offene Fläche, auf der Pflanzen angebaut werden. Antwort: ""Feld""."
de,site,Standort,"A ""site"" is a location where something is, was, or will be built. Answer: ""site"".","Ein ""Standort"" ist ein Ort, an dem etwas gebaut wird, wurde oder wird. Antwort: ""Standort""."
de,meaning,Bedeutung,"""A ""dictionary"" is used to find the meaning of words. Answer: ""dictionary"".""","""Ein ""Wörterbuch"" wird verwendet, um die Bedeutung von Wörtern zu ermitteln. Antwort: ""Wörterbuch""."""
de,dance,tanzen,"A ""dance"" is a form of art that involves movement of the body, usually rhythmic and to music. Answer: ""dance"".","Ein ""Tanz"" ist eine Kunstform, bei der sich der Körper bewegt, meist rhythmisch und zu Musik. Antwort: ""Tanz""."
de,word,Wort,"A ""word"" is a single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed. Answer: ""word"".","Ein ""Wort"" ist ein einzelnes bedeutungsvolles sprachliches oder schriftliches Element, das zusammen mit anderen (oder manchmal auch allein) zur Bildung eines Satzes verwendet wird und in der Regel mit einem Leerzeichen auf beiden Seiten geschrieben oder gedruckt wird. Antwort: ""Wort""."
de,pair,Paar,"""A ""pair"" is a set of two things used together or regarded as a unit. Answer: ""pair"".""","""Ein ""Paar"" ist ein Satz von zwei Dingen, die zusammen verwendet oder als Einheit betrachtet werden. Antwort: ""Paar""."""
de,seat,Sitz,"A ""seat"" is used to sit and rest. Answer: ""seat"".","Ein ""Sitz"" wird zum Sitzen und Ausruhen verwendet. Antwort: ""Sitz""."
de,light,Licht,"A ""light"" is used to illuminate dark spaces. Answer: ""light"".","Ein ""Licht"" wird verwendet, um dunkle Räume zu beleuchten. Antwort: ""Licht""."
de,thousand,tausend,"A ""thousand"" is a numerical value that comes after nine hundred ninety-nine. Answer: ""thousand"".","Ein ""Tausend"" ist ein Zahlenwert, der auf neunhundertneunundneunzig folgt. Antwort: ""Tausend""."
de,north,Norden,"""The ""north"" is a cardinal direction often associated with cold and polar regions. Answer: ""north"".""","""Der ""Norden"" ist eine Himmelsrichtung, die oft mit kalten und polaren Regionen in Verbindung gebracht wird. Antwort: ""Norden""."""
de,machine,Maschine,"A ""machine"" is used to perform a specific task or produce something. Answer: ""machine"".","Eine ""Maschine"" wird verwendet, um eine bestimmte Aufgabe zu erfüllen oder etwas zu produzieren. Antwort: ""Maschine""."
de,time,Zeit,"""A ""clock"" is used to measure ""time"". Answer: ""time"".""","""Eine ""Uhr"" wird zur Messung der ""Zeit"" verwendet. Antwort: ""Zeit""."""
de,benefit,Nutzen,"A ""benefit"" is something that promotes or enhances well-being. Answer: ""benefit"".","Ein ""Nutzen"" ist etwas, das das Wohlbefinden fördert oder steigert. Antwort: ""Nutzen""."
de,position,Standort,"A ""position"" is a place where someone or something is located or has been put. Answer: ""position"".","Eine ""Position"" ist ein Ort, an dem sich jemand oder etwas befindet oder platziert wurde. Antwort: ""Stellung""."
de,province,Provinz,"A ""province"" is a principal administrative division of certain countries or empires. Answer: ""province"".","Eine ""Provinz"" ist eine Hauptverwaltungseinheit bestimmter Länder oder Reiche. Antwort: ""Provinz""."
de,exchange,Börse,"An ""exchange"" is a place where stocks, bonds, or other securities are bought and sold. Answer: ""exchange"".","Eine ""Börse"" ist ein Ort, an dem Aktien, Anleihen oder andere Wertpapiere gekauft und verkauft werden. Antwort: ""Börse""."
de,middle,Mitte,"""The ""middle"" is the point that is equally distant from the sides or outer boundaries of something. Answer: ""middle"".""","""Die ""Mitte"" ist der Punkt, der von den Seiten oder äußeren Begrenzungen einer Sache gleich weit entfernt ist. Antwort: ""Mitte""."""
de,friend,Freund,"A ""friend"" is someone you share a close personal relationship with. Answer: ""friend"".","Ein ""Freund"" ist jemand, mit dem Sie eine enge persönliche Beziehung haben. Antwort: ""Freund""."
de,color,Farbe,"""A ""color"" is used to identify or describe the appearance of objects. Answer: ""color"".""","""Eine ""Farbe"" wird verwendet, um das Aussehen von Objekten zu identifizieren oder zu beschreiben. Antwort: ""Farbe""."""
de,kind,Art,"""A ""kind"" is a category or type of something. Answer: ""kind"".""","""Eine ""Art"" ist eine Kategorie oder ein Typ von etwas. Antwort: ""Art""."""
de,judge,Richter,"A ""judge"" is a person who presides over court proceedings, either alone or as a part of a panel of judges. Answer: ""judge"".","Ein ""Richter"" ist eine Person, die entweder allein oder als Teil eines Gremiums von Richtern den Vorsitz in einem Gerichtsverfahren führt. Antwort: ""Richter""."
de,school,Schule,"A ""school"" is a place where students go to learn. Answer: ""school"".","Eine ""Schule"" ist ein Ort, an dem Schüler lernen. Antwort: ""Schule""."
de,structure,Struktur,"A ""structure"" is a construction that has a specific purpose or function. Answer: ""structure"".","Ein ""Bauwerk"" ist eine Konstruktion, die einen bestimmten Zweck oder eine bestimmte Funktion hat. Antwort: ""Bauwerk""."
de,tie,Krawatte,"A ""tie"" is worn around the neck as part of formal attire. Answer: ""tie"".","Eine ""Krawatte"" wird als Teil der formellen Kleidung um den Hals getragen. Antwort: ""Krawatte""."
de,example,Beispiel,"An ""example"" is used to illustrate a point or concept. Answer: ""example"".","Ein ""Beispiel"" wird verwendet, um einen Punkt oder ein Konzept zu illustrieren. Antwort: ""Beispiel""."
de,face,Gesicht,"A ""face"" is the front part of a person's head, including the forehead, eyes, nose, and mouth. Answer: ""face"".","Ein ""Gesicht"" ist der vordere Teil des Kopfes einer Person, einschließlich der Stirn, der Augen, der Nase und des Mundes. Antwort: ""Gesicht""."
de,bridge,Brücke,"A ""bridge"" is used to connect two areas separated by obstacles like rivers or roads. Answer: ""bridge"".","Eine ""Brücke"" wird verwendet, um zwei Gebiete zu verbinden, die durch Hindernisse wie Flüsse oder Straßen getrennt sind. Antwort: ""Brücke""."
de,item,Gegenstand,"An ""item"" is a thing that is unspecified or unidentified. Answer: ""item"".","Ein ""Gegenstand"" ist eine Sache, die nicht spezifiziert oder nicht identifiziert ist. Antwort: ""Gegenstand""."
de,delete,löschen,"A ""delete"" is used to remove text or data. Answer: ""delete"".","Ein ""Löschen"" wird verwendet, um Text oder Daten zu entfernen. Antwort: ""löschen""."
de,group,Gruppe,"'A ""group"" is a number of people or things that are located, gathered, or classed together. Answer: ""group"".'","Eine ""Gruppe"" ist eine Anzahl von Menschen oder Dingen, die sich an einem bestimmten Ort befinden, die versammelt sind oder zusammengehören. Antwort: 'Gruppe'.'"
de,talent,Talent,"A ""talent"" is a natural aptitude or skill. Answer: ""talent"".","Ein ""Talent"" ist eine natürliche Begabung oder Fähigkeit. Antwort: ""Talent""."
de,beauty,Schönheit,"'""Beauty"" is a characteristic that provides a perceptual experience of pleasure or satisfaction. Answer: ""beauty"".'","Schönheit"" ist eine Eigenschaft, die ein Wahrnehmungserlebnis von Freude oder Befriedigung vermittelt. Antwort: ""Schönheit"".'"
de,platform,Plattform,"A ""platform"" is used to support or raise something. Answer: ""platform"".","Eine ""Plattform"" wird verwendet, um etwas zu stützen oder zu erhöhen. Antwort: ""Plattform""."
de,house,Haus,"A ""house"" is a place where people live. Answer: ""house"".","Ein ""Haus"" ist ein Ort, an dem Menschen leben. Antwort: ""Haus""."
de,sun,Sonne,"The ""sun"" is a star at the center of the Solar System that provides light and heat to Earth. Answer: ""sun"".","Die ""Sonne"" ist ein Stern im Zentrum des Sonnensystems, der die Erde mit Licht und Wärme versorgt. Antwort: ""Sonne""."
de,meeting,Besprechung,"A ""meeting"" is a gathering of people for a specific purpose, often for discussion or decision-making. Answer: ""meeting"".","Eine ""Versammlung"" ist eine Zusammenkunft von Menschen zu einem bestimmten Zweck, oft zur Diskussion oder Entscheidungsfindung. Antwort: ""Versammlung""."
de,history,Geschichte,"""The study of past events, particularly in human affairs"" is known as ""history"". Answer: ""history"".","""Das Studium vergangener Ereignisse, insbesondere im Bereich der menschlichen Angelegenheiten, wird als ""Geschichte"" bezeichnet. Antwort: ""Geschichte""."
de,valley,Tal,"A ""valley"" is a low area between hills or mountains typically with a river running through it. Answer: ""valley"".","Ein ""Tal"" ist ein niedriges Gebiet zwischen Hügeln oder Bergen, durch das normalerweise ein Fluss fließt. Antwort: ""Tal""."
de,square,Quadrat,"A ""square"" is a shape with four equal sides and four right angles. Answer: ""square"".","Ein ""Quadrat"" ist eine Form mit vier gleichen Seiten und vier rechten Winkeln. Antwort: ""Quadrat""."
de,generation,Generation,"""A ""generation"" is a term used to describe all of the people born and living at about the same time. Answer: ""generation"".""","""Eine ""Generation"" ist ein Begriff, der die Gesamtheit der Menschen beschreibt, die etwa zur gleichen Zeit geboren wurden und leben. Antwort: ""Generation""."""
de,south,Süden,"""The ""south"" is a cardinal direction opposite to north. Answer: ""south"".""","""Der ""Süden"" ist eine dem Norden entgegengesetzte Himmelsrichtung. Antwort: ""Süden""."""
de,virtue,Tugend,"A ""virtue"" is a quality considered morally good or desirable in a person. Answer: ""virtue"".","Eine ""Tugend"" ist eine Eigenschaft, die als moralisch gut oder wünschenswert bei einer Person angesehen wird. Antwort: ""Tugend""."
de,tribe,Stamm,"A ""tribe"" is a social division in a traditional society consisting of families or communities linked by social, economic, religious, or blood ties. Answer: ""tribe"".","Ein ""Stamm"" ist eine soziale Abteilung in einer traditionellen Gesellschaft, die aus Familien oder Gemeinschaften besteht, die durch soziale, wirtschaftliche, religiöse oder blutsmäßige Bindungen verbunden sind. Antwort: ""Stamm""."
de,city,Stadt,"A ""city"" is a large human settlement where people live and work. Answer: ""city"".","Eine ""Stadt"" ist eine große menschliche Siedlung, in der Menschen leben und arbeiten. Antwort: ""Stadt""."
de,language,Sprache,"A ""language"" is used to communicate thoughts and ideas. Answer: ""language"".","Eine ""Sprache"" wird verwendet, um Gedanken und Ideen zu kommunizieren. Antwort: ""Sprache""."
de,speed,Geschwindigkeit,"""A ""speed"" is used to measure how fast something is moving. Answer: ""speed"".""","""Eine ""Geschwindigkeit"" wird verwendet, um zu messen, wie schnell sich etwas bewegt. Antwort: ""Geschwindigkeit""."""
de,ground,Boden,"""A ""ground"" is where we walk and build houses on. Answer: ""ground"".""","""Ein ""Boden"" ist der Platz, auf dem wir gehen und Häuser bauen. Antwort: ""Boden""."""
de,advance,vorrücken,"""Advance"" is a term used to describe moving forward or making progress. Answer: ""advance"".","""Fortschritt"" ist ein Begriff, der verwendet wird, um voranzukommen oder Fortschritte zu machen. Antwort: ""vorrücken""."
de,attempt,Versuch,"An ""attempt"" is made when trying to achieve something. Answer: ""attempt"".","Ein ""Versuch"" wird unternommen, wenn man versucht, etwas zu erreichen. Antwort: ""Versuch""."
de,defeat,Niederlage,"""A ""defeat"" is experienced when one loses a competition or battle. Answer: ""defeat"".""","""Eine ""Niederlage"" erlebt man, wenn man einen Wettbewerb oder eine Schlacht verliert. Antwort: ""Niederlage""."""
de,tail,Schwanz,"A ""tail"" is a part of an animal's body that extends from the base of the spine. Answer: ""tail"".","Ein ""Schwanz"" ist ein Teil des Körpers eines Tieres, der sich von der Basis der Wirbelsäule aus erstreckt. Antwort: ""Schwanz""."
de,mother,Mutter,"A ""mother"" is a woman who has given birth to a child. Answer: ""mother"".","Eine ""Mutter"" ist eine Frau, die ein Kind zur Welt gebracht hat. Antwort: ""Mutter""."
de,east,Osten,"""The ""east"" is a cardinal direction opposite of west. Answer: ""east"".""","""Der ""Osten"" ist eine Himmelsrichtung, die dem Westen entgegengesetzt ist. Antwort: ""Osten""."""
de,return,Rückgabe,"A ""return"" is used to give back a purchased item. Answer: ""return"".","Eine ""Rückgabe"" wird verwendet, um einen gekauften Artikel zurückzugeben. Antwort: ""zurückgeben""."
de,speech,Rede,"""A ""speech"" is a formal address or discourse delivered to an audience. Answer: ""speech"".""","""Eine ""Rede"" ist eine förmliche Ansprache oder ein Vortrag, der vor einem Publikum gehalten wird. Antwort: ""Rede""."""
de,child,Kind,"'A ""child"" is a young human being below the age of puberty. Answer: ""child"".'","Ein ""Kind"" ist ein junges menschliches Wesen unter dem Alter der Pubertät. Antwort: ""Kind"".'"
de,tower,Turm,"A ""tower"" is a tall structure that can be used for various purposes such as observation, communication, or storage. Answer: ""tower"".","Ein ""Turm"" ist ein hohes Bauwerk, das für verschiedene Zwecke wie Beobachtung, Kommunikation oder Lagerung genutzt werden kann. Antwort: ""Turm""."
de,hair,Haar,"A ""hair"" is found on the heads of humans and animals. Answer: ""hair"".","Ein ""Haar"" befindet sich auf dem Kopf von Menschen und Tieren. Antwort: ""Haar""."
de,flat,flach,"A ""book"" is often flat and used for reading. Answer: ""book"".","Ein ""Buch"" ist oft flach und wird zum Lesen verwendet. Antwort: ""Buch""."
de,male,männlich,"'A ""man"" is an example of a male. Answer: ""man"".'","Ein ""Mann"" ist ein Beispiel für ein männliches Wesen. Antwort: 'Mann'.'"
de,electric,elektrisch,"An ""electricity"" is used to power devices. Answer: ""electricity"".","Ein ""Strom"" wird zur Versorgung von Geräten verwendet. Antwort: ""Elektrizität""."
de,household,Haushalt,"A ""household"" is a term used to describe a residential unit where people live. Answer: ""household"".","Ein ""Haushalt"" ist eine Bezeichnung für eine Wohneinheit, in der Menschen leben. Antwort: ""Haushalt""."
de,person,Person,"'A ""person"" is a human being regarded as an individual. Answer: ""person"".'","Eine ""Person"" ist ein menschliches Wesen, das als Individuum betrachtet wird. Antwort: 'Person'.'"
de,section,Abschnitt,"A ""section"" is a distinct part or subdivision of something. Answer: ""section"".","Ein ""Abschnitt"" ist ein bestimmter Teil oder eine Unterteilung von etwas. Antwort: ""Abschnitt""."
de,official,offiziell,"An ""official"" is a person who holds a position of authority in an organization or government. Answer: ""official"".","Ein ""Beamter"" ist eine Person, die eine Autoritätsposition in einer Organisation oder Regierung innehat. Antwort: ""Beamter""."
de,hundred,hundert,"A ""hundred"" is a numerical value equal to 10 tens. Answer: ""hundred"".","Ein ""Hunderter"" ist ein numerischer Wert, der 10 Zehner entspricht. Antwort: ""Hundert""."
de,office,Büro,"An ""office"" is a place where people usually do their job. Answer: ""office"".","Ein ""Büro"" ist ein Ort, an dem Menschen normalerweise ihre Arbeit verrichten. Antwort: ""Büro""."
de,rock,Felsen,"A ""rock"" is a solid mineral material forming part of the surface of the earth. Answer: ""rock"".","Ein ""Fels"" ist ein festes mineralisches Material, das einen Teil der Erdoberfläche bildet. Antwort: ""Gestein""."
de,rise,Anstieg,"""A ""rise"" is used to describe an increase or upward movement. Answer: ""rise"".""","""Ein ""Anstieg"" wird verwendet, um einen Anstieg oder eine Aufwärtsbewegung zu beschreiben. Antwort: ""Anstieg""."""
de,left,links,"'A ""left"" is a direction opposite to right. Answer: ""left"".'","Ein ""links"" ist eine Richtung, die der rechten entgegengesetzt ist. Antwort: ""links"".'"
de,sound,Klang,"A ""sound"" is something we hear. Answer: ""sound"".","Ein ""Geräusch"" ist etwas, das wir hören. Antwort: ""Klang""."
de,power,Macht,"""A ""power"" is used to control or influence people or things. Answer: ""power"".""","""Eine ""Macht"" wird benutzt, um Menschen oder Dinge zu kontrollieren oder zu beeinflussen. Antwort: ""Macht""."""
de,summer,Sommer,"""The ""summer"" is a season known for its warm weather. Answer: ""summer"".""","""Der ""Sommer"" ist eine Jahreszeit, die für ihr warmes Wetter bekannt ist. Antwort: ""Sommer""."""
