lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation
ru,song,песня,"A ""song"" is a piece of music with words that is sung. Answer: ""song"".","Песня - это музыкальное произведение со словами, которое поется. Ответ: ""песня""."
ru,water,вода,"""A ""water"" is essential for life and is used for drinking and cleaning. Answer: ""water"".""","""Вода"" необходима для жизни и используется для питья и уборки. Ответ: ""вода""."""
ru,pond,пруд,"A ""pond"" is a small body of still water. Answer: ""pond"".","Пруд - это небольшой водоем с неподвижной водой. Ответ: ""пруд""."
ru,sand,песок,"""A ""sand"" is used to build castles at the beach. Answer: ""sand"".""","""Песок"" используется для строительства замков на пляже. Ответ: ""песок""."""
ru,river,река,"A ""river"" is a large, flowing body of water that usually empties into a sea or ocean. Answer: ""river"".","Река - это большой проточный водоем, который обычно впадает в море или океан. Ответ: ""река""."
ru,law,закон,"'A ""law"" is a system of rules that a society or government develops in order to deal with crime, business agreements, and social relationships. Answer: ""law"".'","""Закон"" - это система правил, которую разрабатывает общество или правительство, чтобы справиться с преступностью, деловыми соглашениями и социальными отношениями. Ответ: ""закон""."
ru,wave,волна,"A ""wave"" is a disturbance that transfers energy through matter or space. Answer: ""wave"".","Волна - это возмущение, которое переносит энергию через материю или пространство. Ответ: ""волна""."
ru,ocean,океан,"An ""ocean"" is a large body of salt water that covers most of the earth's surface. Answer: ""ocean"".","Океан - это большой водоем с соленой водой, который покрывает большую часть поверхности Земли. Ответ: ""океан""."
ru,cave,пещера,"A ""cave"" is a natural underground space large enough for a human to enter. Answer: ""cave"".","Пещера - это естественное подземное пространство, достаточно большое для того, чтобы в него мог войти человек. Ответ: ""пещера""."
ru,sea,море,"A ""sea"" is a large body of saltwater that is smaller than an ocean. Answer: ""sea"".","Море - это большой водоем с соленой водой, который меньше океана. Ответ: ""море""."
ru,lake,озеро,"A ""lake"" is a large body of water surrounded by land. Answer: ""lake"".","Озеро - это большой водоем, окруженный сушей. Ответ: ""озеро""."
ru,source,источник,"A ""source"" is used to provide information or data. Answer: ""source"".","Источник"" используется для предоставления информации или данных. Ответ: ""источник""."
ru,fire,костер,"A ""fire"" is used for cooking and providing warmth. Answer: ""fire"".","Костер используется для приготовления пищи и обеспечения тепла. Ответ: ""костер""."
ru,point,точка,"A ""point"" is a specific location in space. Answer: ""point"".","Точка - это определенное место в пространстве. Ответ: ""точка""."
ru,version,версия,"A ""version"" is used to denote different forms or stages in the development of something. Answer: ""version"".","Версия"" используется для обозначения различных форм или этапов в развитии чего-либо. Ответ: ""версия""."
ru,ball,мяч,"A ""ball"" is used to play sports like soccer and basketball. Answer: ""ball"".","Мяч используется для игры в такие виды спорта, как футбол и баскетбол. Ответ: ""мяч""."
ru,painting,картина,"A ""painting"" is a piece of art that can be hung on a wall. Answer: ""painting"".","Картина - это произведение искусства, которое можно повесить на стену. Ответ: ""картина""."
ru,station,вокзал,"A ""station"" is a place where trains or buses regularly stop so that passengers can get on or off. Answer: ""station"".","Станция - это место, где поезда или автобусы регулярно останавливаются, чтобы пассажиры могли сесть или выйти. Ответ: ""станция""."
ru,rice,рис,"A ""rice"" is a grain that is commonly used in cooking and is a staple food in many countries. Answer: ""rice"".","Рис - это зерно, которое широко используется в кулинарии и является основным продуктом питания во многих странах. Ответ: ""рис""."
ru,red,красный,"'A ""red"" is a color often associated with love and passion. Answer: ""red"".'","""Красный"" - цвет, часто ассоциирующийся с любовью и страстью. Ответ: ""красный""."
ru,line,линия,"A ""line"" is a narrow continuous mark, as that made by a pen, pencil, or brush. Answer: ""line"".","Линия - это узкий непрерывный след, сделанный пером, карандашом или кистью. Ответ: ""линия""."
ru,net,сетка,"A ""net"" is used in sports like volleyball and tennis to divide the playing area. Answer: ""net"".","Сетка используется в таких видах спорта, как волейбол и теннис, для разделения игровой площадки. Ответ: ""сетка""."
ru,flower,цветок,"A ""flower"" is often given as a gift and can be found in gardens. Answer: ""flower"".","Этот ""цветок"" часто дарят в подарок, его можно встретить в садах. Ответ: ""цветок""."
ru,tea,чай,"A ""tea"" is a beverage often consumed for relaxation or warmth. Answer: ""tea"".","Чай - это напиток, который часто употребляют для расслабления или согревания. Ответ: ""чай""."
ru,foot,нога,"A ""foot"" is used for walking and running. Answer: ""foot"".","Для ходьбы и бега используется ""нога"". Ответ: ""нога""."
ru,gold,золото,"""A ""gold"" is a precious metal that is often used in jewelry. Answer: ""gold"".""","""Золото"" - это драгоценный металл, который часто используется в ювелирных изделиях. Ответ: ""золото""."""
ru,door,дверь,"A ""door"" is used for entering or exiting a room. Answer: ""door"".","Дверь используется для входа или выхода из помещения. Ответ: ""дверь""."
ru,snow,снег,"""A ""snow"" is a form of precipitation that falls from the sky during winter. Answer: ""snow"".""","""Снег"" - это вид осадков, выпадающих с неба зимой. Ответ: ""снег""."""
ru,horse,лошадь,"A ""horse"" is a large domesticated animal with four legs, commonly used for riding and racing. Answer: ""horse"".","Лошадь - крупное одомашненное животное с четырьмя ногами, обычно используемое для верховой езды и скачек. Ответ: ""лошадь""."
ru,yellow,желтый,"A ""banana"" is often yellow. Answer: ""banana"".","""Банан"" часто бывает желтого цвета. Ответ: ""банан""."
ru,white,белый,"A ""chalk"" is often white and used for writing on blackboards. Answer: ""chalk"".","Мел часто бывает белого цвета и используется для письма на доске. Ответ: ""мел""."
ru,one,один,"A ""one"" is a number that comes after zero and before two. Answer: ""one"".","Единица - это число, которое идет после нуля и перед двойкой. Ответ: ""один""."
ru,two,два,"The number ""two"" is the sum of one plus one. Answer: ""two"".","Число ""два"" - это сумма одного плюс одного. Ответ: ""два""."
ru,three,три,"The number that comes after two is ""three"". Answer: ""three"".","Число, следующее за двумя, - ""три"". Ответ: ""три""."
ru,four,четыре,"The number ""four"" is the integer that comes after three. Answer: ""four"".","Число ""четыре"" - это целое число, следующее за тремя. Ответ: ""четыре""."
ru,five,пять,"The number that comes after four is ""five"". Answer: ""five"".","Число, следующее за четырьмя, - ""пять"". Ответ: ""пять""."
ru,six,шесть,"The number that comes after five is ""six"". Answer: ""six"".","Число, следующее за пятью, - ""шесть"". Ответ: ""шесть""."
ru,seven,семь,"The number ""seven"" comes after six. Answer: ""seven"".","Число ""семь"" идет после шести. Ответ: ""семь""."
ru,eight,восемь,"The number ""eight"" comes after seven. Answer: ""eight"".","Число ""восемь"" идет после семи. Ответ: ""восемь""."
ru,nine,девять,"The number that comes after eight is ""nine"". Answer: ""nine"".","Число, следующее за восьмёркой, - ""девять"". Ответ: ""девять""."
ru,ten,десять,"The number that comes after nine is ""ten"". Answer: ""ten"".","Число, следующее за девятью, - ""десять"". Ответ: ""десять""."
ru,head,голова,"'A ""head"" is a part of the body that contains the brain, eyes, ears, nose, and mouth. Answer: ""head"".'","""Голова"" - это часть тела, содержащая мозг, глаза, уши, нос и рот. Ответ: ""голова""."
ru,shop,магазин,"A ""shop"" is a place where you can buy goods or services. Answer: ""shop"".","Магазин - это место, где можно купить товары или услуги. Ответ: ""магазин""."
ru,strip,полоса,"A ""strip"" is a long, narrow piece of a certain material. Answer: ""strip"".","Полоса - это длинный, узкий кусок определенного материала. Ответ: ""полоса""."
ru,street,улица,"A ""street"" is a public road in a city, town, or village. Answer: ""street"".","Улица - это дорога общего пользования в городе, поселке или деревне. Ответ: ""улица""."
ru,part,часть,"A ""part"" is used to make up a whole. Answer: ""part"".","Часть используется для составления целого. Ответ: ""часть""."
ru,eye,глаз,"A ""eye"" is used to see everything around us. Answer: ""eye"".","С помощью ""глаза"" мы видим все вокруг. Ответ: ""глаз""."
ru,field,поле,"A ""field"" is a wide area of open land where crops are grown. Answer: ""field"".","Поле - это обширный участок открытой земли, на котором выращивают сельскохозяйственные культуры. Ответ: ""поле""."
ru,site,сайт,"A ""site"" is a location where something is, was, or will be built. Answer: ""site"".","""Участок"" - это место, где что-то строится, было или будет построено. Ответ: ""сайт""."
ru,meaning,значение,"""A ""dictionary"" is used to find the meaning of words. Answer: ""dictionary"".""","""Словарь"" используется для поиска значения слов. Ответ: ""словарь""."""
ru,dance,танец,"A ""dance"" is a form of art that involves movement of the body, usually rhythmic and to music. Answer: ""dance"".","Танец - это вид искусства, включающий движения тела, обычно ритмичные и под музыку. Ответ: ""танец""."
ru,word,слово,"A ""word"" is a single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed. Answer: ""word"".","Слово - это отдельный значимый элемент речи или письма, используемый вместе с другими (а иногда и самостоятельно) для формирования предложения и обычно указываемый в письменном или печатном виде с пробелом по обе стороны. Ответ: ""слово""."
ru,pair,пара,"""A ""pair"" is a set of two things used together or regarded as a unit. Answer: ""pair"".""","""Пара"" - это набор из двух предметов, используемых вместе или рассматриваемых как единое целое. Ответ: ""пара""."""
ru,seat,сиденье,"A ""seat"" is used to sit and rest. Answer: ""seat"".","Сиденье"" используется для сидения и отдыха. Ответ: ""сиденье""."
ru,light,свет,"A ""light"" is used to illuminate dark spaces. Answer: ""light"".","""Светильник"" используется для освещения темных помещений. Ответ: ""свет""."
ru,thousand,тысяча,"A ""thousand"" is a numerical value that comes after nine hundred ninety-nine. Answer: ""thousand"".","Тысяча - это числовое значение, следующее за девятьсот девяносто девятью. Ответ: ""тысяча""."
ru,north,север,"""The ""north"" is a cardinal direction often associated with cold and polar regions. Answer: ""north"".""","""Север"" - это кардинальное направление, часто ассоциирующееся с холодными и полярными регионами. Ответ: ""север""."""
ru,machine,машина,"A ""machine"" is used to perform a specific task or produce something. Answer: ""machine"".","Машина используется для выполнения определенной задачи или производства чего-либо. Ответ: ""машина""."
ru,time,время,"""A ""clock"" is used to measure ""time"". Answer: ""time"".""","""Часы"" используются для измерения ""времени"". Ответ: ""время""."""
ru,benefit,польза,"A ""benefit"" is something that promotes or enhances well-being. Answer: ""benefit"".","Выгода - это то, что способствует благополучию или улучшает его. Ответ: ""польза""."
ru,position,позиция,"A ""position"" is a place where someone or something is located or has been put. Answer: ""position"".","Позиция - это место, где кто-то или что-то находится или находится. Ответ: ""позиция""."
ru,province,провинция,"A ""province"" is a principal administrative division of certain countries or empires. Answer: ""province"".","Провинция - это основное административное деление некоторых стран или империй. Ответ: ""провинция""."
ru,exchange,биржа,"An ""exchange"" is a place where stocks, bonds, or other securities are bought and sold. Answer: ""exchange"".","Биржа - это место, где покупают и продают акции, облигации или другие ценные бумаги. Ответ: ""биржа""."
ru,middle,середина,"""The ""middle"" is the point that is equally distant from the sides or outer boundaries of something. Answer: ""middle"".""","""Середина"" - это точка, которая одинаково удалена от сторон или внешних границ чего-либо. Ответ: ""середина""."""
ru,friend,друг,"A ""friend"" is someone you share a close personal relationship with. Answer: ""friend"".","Друг - это человек, с которым вас связывают близкие личные отношения. Ответ: ""друг""."
ru,color,цвет,"""A ""color"" is used to identify or describe the appearance of objects. Answer: ""color"".""","""Цвет"" используется для идентификации или описания внешнего вида объектов. Ответ: ""цвет""."""
ru,kind,вид,"""A ""kind"" is a category or type of something. Answer: ""kind"".""","""Вид"" - это категория или тип чего-либо. Ответ: ""вид""."""
ru,judge,судья,"A ""judge"" is a person who presides over court proceedings, either alone or as a part of a panel of judges. Answer: ""judge"".","Судья - это лицо, председательствующее в судебном процессе, единолично или в составе коллегии судей. Ответ: ""судья""."
ru,school,школа,"A ""school"" is a place where students go to learn. Answer: ""school"".","Школа - это место, куда ученики ходят учиться. Ответ: ""школа""."
ru,structure,структура,"A ""structure"" is a construction that has a specific purpose or function. Answer: ""structure"".","Структура - это сооружение, имеющее определенное назначение или функцию. Ответ: ""структура""."
ru,tie,галстук,"A ""tie"" is worn around the neck as part of formal attire. Answer: ""tie"".","Галстук носят на шее как часть официального наряда. Ответ: ""галстук""."
ru,example,пример,"An ""example"" is used to illustrate a point or concept. Answer: ""example"".","Пример"" используется для иллюстрации какого-либо положения или концепции. Ответ: ""пример""."
ru,face,лицо,"A ""face"" is the front part of a person's head, including the forehead, eyes, nose, and mouth. Answer: ""face"".","Лицо - это передняя часть головы человека, включающая лоб, глаза, нос и рот. Ответ: ""лицо""."
ru,bridge,мост,"A ""bridge"" is used to connect two areas separated by obstacles like rivers or roads. Answer: ""bridge"".","Мост используется для соединения двух территорий, разделенных препятствиями, такими как реки или дороги. Ответ: ""мост""."
ru,item,предмет,"An ""item"" is a thing that is unspecified or unidentified. Answer: ""item"".","Предмет - это вещь, которая не определена или не идентифицирована. Ответ: ""предмет""."
ru,delete,удалить,"A ""delete"" is used to remove text or data. Answer: ""delete"".","""Удалить"" используется для удаления текста или данных. Ответ: ""удалить""."
ru,group,группа,"'A ""group"" is a number of people or things that are located, gathered, or classed together. Answer: ""group"".'","""Группа"" - это несколько людей или предметов, которые находятся, собраны или объединены в одну группу. Ответ: ""группа""."
ru,talent,талант,"A ""talent"" is a natural aptitude or skill. Answer: ""talent"".","Талант - это природная способность или умение. Ответ: ""талант""."
ru,beauty,красота,"'""Beauty"" is a characteristic that provides a perceptual experience of pleasure or satisfaction. Answer: ""beauty"".'","''Красота - это характеристика, которая обеспечивает перцептивный опыт удовольствия или удовлетворения. Ответ: ""красота""."
ru,platform,платформа,"A ""platform"" is used to support or raise something. Answer: ""platform"".","Платформа используется для поддержки или поднятия чего-либо. Ответ: ""платформа""."
ru,house,дом,"A ""house"" is a place where people live. Answer: ""house"".","Дом - это место, где живут люди. Ответ: ""дом""."
ru,sun,солнце,"The ""sun"" is a star at the center of the Solar System that provides light and heat to Earth. Answer: ""sun"".","Солнце - звезда в центре Солнечной системы, обеспечивающая Землю светом и теплом. Ответ: ""Солнце""."
ru,meeting,собрание,"A ""meeting"" is a gathering of people for a specific purpose, often for discussion or decision-making. Answer: ""meeting"".","Собрание - это собрание людей с определенной целью, часто для обсуждения или принятия решений. Ответ: ""собрание""."
ru,history,история,"""The study of past events, particularly in human affairs"" is known as ""history"". Answer: ""history"".","""Изучение событий прошлого, особенно в человеческих делах"" известно как ""история"". Ответ: ""история""."
ru,valley,долина,"A ""valley"" is a low area between hills or mountains typically with a river running through it. Answer: ""valley"".","Долина - это низкая местность между холмами или горами, через которую обычно протекает река. Ответ: ""долина""."
ru,square,квадрат,"A ""square"" is a shape with four equal sides and four right angles. Answer: ""square"".","Квадрат - это фигура с четырьмя равными сторонами и четырьмя прямыми углами. Ответ: ""квадрат""."
ru,generation,поколение,"""A ""generation"" is a term used to describe all of the people born and living at about the same time. Answer: ""generation"".""","""Поколение"" - это термин, используемый для описания всех людей, родившихся и живущих примерно в одно и то же время. Ответ: ""поколение""."""
ru,south,юг,"""The ""south"" is a cardinal direction opposite to north. Answer: ""south"".""","""Юг"" - это кардинальное направление, противоположное северу. Ответ: ""юг""."""
ru,virtue,добродетель,"A ""virtue"" is a quality considered morally good or desirable in a person. Answer: ""virtue"".","Добродетель - это качество, которое считается морально хорошим или желательным в человеке. Ответ: ""добродетель""."
ru,tribe,племя,"A ""tribe"" is a social division in a traditional society consisting of families or communities linked by social, economic, religious, or blood ties. Answer: ""tribe"".","Племя - это социальное подразделение в традиционном обществе, состоящее из семей или общин, связанных социальными, экономическими, религиозными или кровными узами. Ответ: ""племя""."
ru,city,город,"A ""city"" is a large human settlement where people live and work. Answer: ""city"".","Город - это крупное человеческое поселение, в котором люди живут и работают. Ответ: ""город""."
ru,language,язык,"A ""language"" is used to communicate thoughts and ideas. Answer: ""language"".","Язык"" используется для передачи мыслей и идей. Ответ: ""язык""."
ru,speed,скорость,"""A ""speed"" is used to measure how fast something is moving. Answer: ""speed"".""","""Скорость"" используется для измерения того, как быстро что-то движется. Ответ: ""скорость""."""
ru,ground,земля,"""A ""ground"" is where we walk and build houses on. Answer: ""ground"".""","""Земля"" - это место, по которому мы ходим и строим дома. Ответ: ""земля""."""
ru,advance,продвигаться,"""Advance"" is a term used to describe moving forward or making progress. Answer: ""advance"".","""Продвижение"" - это термин, используемый для описания движения вперед или прогресса. Ответ: ""продвигаться""."
ru,attempt,попытка,"An ""attempt"" is made when trying to achieve something. Answer: ""attempt"".","Попытка"" предпринимается, когда пытаются чего-то добиться. Ответ: ""попытка""."
ru,defeat,поражение,"""A ""defeat"" is experienced when one loses a competition or battle. Answer: ""defeat"".""","""Поражение"" испытывают, когда проигрывают соревнование или битву. Ответ: ""поражение""."""
ru,tail,хвост,"A ""tail"" is a part of an animal's body that extends from the base of the spine. Answer: ""tail"".","Хвост - это часть тела животного, отходящая от основания позвоночника. Ответ: ""хвост""."
ru,mother,мать,"A ""mother"" is a woman who has given birth to a child. Answer: ""mother"".","Мать - это женщина, родившая ребенка. Ответ: ""мать""."
ru,east,восток,"""The ""east"" is a cardinal direction opposite of west. Answer: ""east"".""","""Восток"" - кардинальное направление, противоположное западу. Ответ: ""Восток""."""
ru,return,возврат,"A ""return"" is used to give back a purchased item. Answer: ""return"".","Возврат"" используется для возврата купленного товара. Ответ: ""вернуть""."
ru,speech,речь,"""A ""speech"" is a formal address or discourse delivered to an audience. Answer: ""speech"".""","""Речь"" - это официальное обращение или рассуждение, произнесенное перед аудиторией. Ответ: ""речь""."""
ru,child,ребенок,"'A ""child"" is a young human being below the age of puberty. Answer: ""child"".'","""Ребенок"" - это юное человеческое существо, не достигшее возраста половой зрелости. Ответ: ""ребенок""."
ru,tower,башня,"A ""tower"" is a tall structure that can be used for various purposes such as observation, communication, or storage. Answer: ""tower"".","Башня - это высокое сооружение, которое может использоваться для различных целей, например, для наблюдения, связи или хранения. Ответ: ""башня""."
ru,hair,волосы,"A ""hair"" is found on the heads of humans and animals. Answer: ""hair"".","""Волос"" находится на голове у людей и животных. Ответ: ""волос""."
ru,flat,плоская,"A ""book"" is often flat and used for reading. Answer: ""book"".","Книга"" часто бывает плоской и используется для чтения. Ответ: ""книга""."
ru,male,мужчина,"'A ""man"" is an example of a male. Answer: ""man"".'","'Мужчина' - пример мужского пола. Ответ: ""мужчина""."
ru,electric,электрический,"An ""electricity"" is used to power devices. Answer: ""electricity"".","""Электричество"" используется для питания устройств. Ответ: ""электричество""."
ru,household,домашнее хозяйство,"A ""household"" is a term used to describe a residential unit where people live. Answer: ""household"".","Домохозяйство"" - это термин, используемый для описания жилого помещения, в котором живут люди. Ответ: ""домохозяйство""."
ru,person,человек,"'A ""person"" is a human being regarded as an individual. Answer: ""person"".'","""Человек"" - это человеческое существо, рассматриваемое как личность. Ответ: ""человек""."
ru,section,секция,"A ""section"" is a distinct part or subdivision of something. Answer: ""section"".","Раздел"" - это отдельная часть или подразделение чего-либо. Ответ: ""секция""."
ru,official,официальный,"An ""official"" is a person who holds a position of authority in an organization or government. Answer: ""official"".","Чиновник - это человек, занимающий руководящую должность в организации или правительстве. Ответ: ""чиновник""."
ru,hundred,сотня,"A ""hundred"" is a numerical value equal to 10 tens. Answer: ""hundred"".","Сотня - это числовое значение, равное 10 десяткам. Ответ: ""сотня""."
ru,office,офис,"An ""office"" is a place where people usually do their job. Answer: ""office"".","Офис - это место, где люди обычно выполняют свою работу. Ответ: ""офис""."
ru,rock,скала,"A ""rock"" is a solid mineral material forming part of the surface of the earth. Answer: ""rock"".","Горная порода - это твердый минеральный материал, составляющий часть поверхности Земли. Ответ: ""камень""."
ru,rise,rise,"""A ""rise"" is used to describe an increase or upward movement. Answer: ""rise"".""","""Подъем"" используется для описания увеличения или движения вверх. Ответ: ""подъем""."""
ru,left,левый,"'A ""left"" is a direction opposite to right. Answer: ""left"".'","'Левый' - это направление, противоположное правому. Ответ: ""налево""."
ru,sound,звук,"A ""sound"" is something we hear. Answer: ""sound"".","Звук - это то, что мы слышим. Ответ: ""звук""."
ru,power,власть,"""A ""power"" is used to control or influence people or things. Answer: ""power"".""","""Власть"" используется для контроля или влияния на людей или вещи. Ответ: ""власть""."""
ru,summer,лето,"""The ""summer"" is a season known for its warm weather. Answer: ""summer"".""","""Лето"" - это сезон, известный своей теплой погодой. Ответ: ""лето""."""
