prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""Süden"" - 中文: ""南""
Deutsch: ""Quadrat"" - 中文: ""方""
Deutsch: ""Paar"" - 中文: ""双""
Deutsch: ""Teich"" - 中文: ""池""
Deutsch: ""Blume"" - 中文: ""","[30830, 235]",花,"[5685, 29888, 1731, 4972, 28149, 1652, 1579, 285]",flower,Blume
"Deutsch: ""Teil"" - 中文: ""部""
Deutsch: ""Auge"" - 中文: ""目""
Deutsch: ""Gesicht"" - 中文: ""面""
Deutsch: ""Ball"" - 中文: ""球""
Deutsch: ""Tee"" - 中文: ""","[31954, 235]",茶,"[734, 371, 29873, 23429, 260]",tea,Tee
"Deutsch: ""Rede"" - 中文: ""话""
Deutsch: ""Schwanz"" - 中文: ""尾""
Deutsch: ""Sonne"" - 中文: ""阳""
Deutsch: ""drei"" - 中文: ""三""
Deutsch: ""Fuß"" - 中文: ""","[31722, 235]",足,"[29888, 1181, 1701, 7953, 5431, 6661, 3661, 285]",foot,Fuß
"Deutsch: ""Mond"" - 中文: ""月""
Deutsch: ""tausend"" - 中文: ""千""
Deutsch: ""Netz"" - 中文: ""网""
Deutsch: ""zwei"" - 中文: ""二""
Deutsch: ""Gold"" - 中文: ""","[30659, 236]",金,"[29887, 748, 15192, 7684, 1484, 330]",gold,Gold
"Deutsch: ""Ball"" - 中文: ""球""
Deutsch: ""Büro"" - 中文: ""局""
Deutsch: ""Norden"" - 中文: ""北""
Deutsch: ""Mutter"" - 中文: ""母""
Deutsch: ""Tür"" - 中文: ""","[31649, 236]",门,"[17433, 1867, 29881, 437, 3050, 270]",door,Tür
"Deutsch: ""Gemälde"" - 中文: ""画""
Deutsch: ""Turm"" - 中文: ""塔""
Deutsch: ""Süden"" - 中文: ""南""
Deutsch: ""Maschine"" - 中文: ""机""
Deutsch: ""Schnee"" - 中文: ""","[31731, 236]",雪,"[15007, 16586, 269, 5807, 29879]",snow,Schnee
"Deutsch: ""Haus"" - 中文: ""屋""
Deutsch: ""Büro"" - 中文: ""局""
Deutsch: ""Tuch"" - 中文: ""布""
Deutsch: ""Netz"" - 中文: ""网""
Deutsch: ""Pferd"" - 中文: ""","[31530, 236]",马,"[10435, 5089, 29882, 2015, 1251, 4029, 298, 11231]",horse,Pferd
"Deutsch: ""Tuch"" - 中文: ""布""
Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Gold"" - 中文: ""金""
Deutsch: ""Kind"" - 中文: ""子""
Deutsch: ""eins"" - 中文: ""","[30287, 231]",一,"[650, 373, 697, 29877, 288, 265]",one,eins
"Deutsch: ""Fluss"" - 中文: ""河""
Deutsch: ""Schule"" - 中文: ""校""
Deutsch: ""Feder"" - 中文: ""春""
Deutsch: ""Tugend"" - 中文: ""德""
Deutsch: ""zwei"" - 中文: ""","[30685, 231]",二,"[3252, 10184, 29873, 7516, 1023, 260]",two,zwei
"Deutsch: ""Haus"" - 中文: ""屋""
Deutsch: ""Buch"" - 中文: ""书""
Deutsch: ""Ball"" - 中文: ""球""
Deutsch: ""Gemälde"" - 中文: ""画""
Deutsch: ""drei"" - 中文: ""","[30457, 231]",三,"[29873, 2211, 12455, 260, 386, 266, 1468, 17536]",three,drei
"Deutsch: ""Rede"" - 中文: ""话""
Deutsch: ""Quelle"" - 中文: ""源""
Deutsch: ""tausend"" - 中文: ""千""
Deutsch: ""Ozean"" - 中文: ""洋""
Deutsch: ""vier"" - 中文: ""","[30928, 232]",四,"[29888, 12584, 1181, 1701, 3023, 17823, 285]",four,vier
"Deutsch: ""Art"" - 中文: ""种""
Deutsch: ""Freund"" - 中文: ""友""
Deutsch: ""Höhle"" - 中文: ""洞""
Deutsch: ""Feuer"" - 中文: ""火""
Deutsch: ""fünf"" - 中文: ""","[30904, 231]",五,"[29888, 7241, 20818, 5320, 5713, 285]",five,fünf
"Deutsch: ""Geschwindigkeit"" - 中文: ""速""
Deutsch: ""Tee"" - 中文: ""茶""
Deutsch: ""Wolke"" - 中文: ""云""
Deutsch: ""Sand"" - 中文: ""沙""
Deutsch: ""sechs"" - 中文: ""","[31304, 232]",六,"[269, 4832, 1354, 28319, 1039, 29879]",six,sechs
"Deutsch: ""Büro"" - 中文: ""局""
Deutsch: ""Fuß"" - 中文: ""足""
Deutsch: ""Blume"" - 中文: ""花""
Deutsch: ""Börse"" - 中文: ""交""
Deutsch: ""sieben"" - 中文: ""","[31425, 231]",七,"[269, 344, 9881, 409, 29879]",seven,sieben
"Deutsch: ""Richter"" - 中文: ""判""
Deutsch: ""Gemälde"" - 中文: ""画""
Deutsch: ""Punkt"" - 中文: ""点""
Deutsch: ""Feuer"" - 中文: ""火""
Deutsch: ""acht"" - 中文: ""","[31044, 232]",八,"[9475, 321, 29872, 29319, 10096, 15761]",eight,acht
"Deutsch: ""Fuß"" - 中文: ""足""
Deutsch: ""Mund"" - 中文: ""口""
Deutsch: ""Gitter"" - 中文: ""格""
Deutsch: ""Schwanz"" - 中文: ""尾""
Deutsch: ""neun"" - 中文: ""","[31321, 231]",九,"[302, 6836, 29876, 14183, 17081, 1240]",nine,neun
"Deutsch: ""Stern"" - 中文: ""星""
Deutsch: ""Maschine"" - 中文: ""机""
Deutsch: ""Norden"" - 中文: ""北""
Deutsch: ""Schwanz"" - 中文: ""尾""
Deutsch: ""zehn"" - 中文: ""","[30802, 232]",十,"[734, 841, 371, 29873, 3006, 260]",ten,zehn
"Deutsch: ""Talent"" - 中文: ""才""
Deutsch: ""Macht"" - 中文: ""力""
Deutsch: ""Feder"" - 中文: ""春""
Deutsch: ""Sommer"" - 中文: ""夏""
Deutsch: ""Kopf"" - 中文: ""","[31584, 232]",头,"[540, 2813, 29882, 2343, 354, 298]",head,Kopf
"Deutsch: ""Schnee"" - 中文: ""雪""
Deutsch: ""löschen"" - 中文: ""删""
Deutsch: ""Haus"" - 中文: ""屋""
Deutsch: ""Gruppe"" - 中文: ""群""
Deutsch: ""Streifen"" - 中文: ""","[31217, 233]",条,"[269, 380, 17820, 17010, 710, 303, 29879, 10076, 851]",strip,Streifen
"Deutsch: ""Pferd"" - 中文: ""马""
Deutsch: ""See"" - 中文: ""湖""
Deutsch: ""Börse"" - 中文: ""交""
Deutsch: ""Reis"" - 中文: ""米""
Deutsch: ""Straße"" - 中文: ""","[30813, 235]",街,"[11952, 269, 13045, 380, 29352, 12243, 710, 303, 29879, 851]",street,Straße
"Deutsch: ""Versuch"" - 中文: ""试""
Deutsch: ""Provinz"" - 中文: ""省""
Deutsch: ""Büro"" - 中文: ""局""
Deutsch: ""Teich"" - 中文: ""池""
Deutsch: ""Teil"" - 中文: ""","[30636, 236]",部,"[862, 1595, 760, 3300, 282, 29886, 3274, 610]",part,Teil
"Deutsch: ""Tee"" - 中文: ""茶""
Deutsch: ""Gesetz"" - 中文: ""法""
Deutsch: ""Plattform"" - 中文: ""台""
Deutsch: ""Feuer"" - 中文: ""火""
Deutsch: ""Auge"" - 中文: ""","[30895, 234]",目,"[1032, 321, 10977, 29872]",eye,Auge
"Deutsch: ""Schnee"" - 中文: ""雪""
Deutsch: ""Gold"" - 中文: ""金""
Deutsch: ""Schönheit"" - 中文: ""美""
Deutsch: ""Mitte"" - 中文: ""中""
Deutsch: ""Feld"" - 中文: ""","[31632, 232]",场,"[29888, 7241, 2671, 29607, 1746, 5713, 285]",field,Feld
"Deutsch: ""Richter"" - 中文: ""判""
Deutsch: ""Gesicht"" - 中文: ""面""
Deutsch: ""Schwanz"" - 中文: ""尾""
Deutsch: ""Schule"" - 中文: ""校""
Deutsch: ""Standort"" - 中文: ""","[31702, 232]",址,"[3268, 269, 1354, 2746, 7845, 1039, 29879]",site,Standort
"Deutsch: ""Pferd"" - 中文: ""马""
Deutsch: ""Fluss"" - 中文: ""河""
Deutsch: ""Welle"" - 中文: ""波""
Deutsch: ""Feuer"" - 中文: ""火""
Deutsch: ""Wort"" - 中文: ""","[30578, 232]",字,"[8879, 1734, 13762, 827, 1742, 281, 29893, 6365]",word,Wort
"Deutsch: ""Quelle"" - 中文: ""源""
Deutsch: ""Bahnhof"" - 中文: ""站""
Deutsch: ""Rede"" - 中文: ""话""
Deutsch: ""Richter"" - 中文: ""判""
Deutsch: ""Paar"" - 中文: ""","[31960, 232]",双,"[5101, 3300, 282, 29886, 3274, 18784]",pair,Paar
"Deutsch: ""Herz"" - 中文: ""心""
Deutsch: ""drei"" - 中文: ""三""
Deutsch: ""Quadrat"" - 中文: ""方""
Deutsch: ""Punkt"" - 中文: ""点""
Deutsch: ""Sitz"" - 中文: ""","[31780, 232]",座,"[269, 7205, 344, 12949, 409, 29879]",seat,Sitz
"Deutsch: ""Ball"" - 中文: ""球""
Deutsch: ""Teil"" - 中文: ""部""
Deutsch: ""Gold"" - 中文: ""金""
Deutsch: ""Plattform"" - 中文: ""台""
Deutsch: ""Licht"" - 中文: ""","[30867, 232]",光,"[14172, 492, 29880, 3473, 619, 4366, 301, 3578]",light,Licht
"Deutsch: ""Wasser"" - 中文: ""水""
Deutsch: ""zwei"" - 中文: ""二""
Deutsch: ""Anstieg"" - 中文: ""起""
Deutsch: ""Mund"" - 中文: ""口""
Deutsch: ""tausend"" - 中文: ""","[31159, 232]",千,"[7693, 29873, 10405, 266, 386, 260, 12595]",thousand,tausend
"Deutsch: ""Welle"" - 中文: ""波""
Deutsch: ""sieben"" - 中文: ""七""
Deutsch: ""Tee"" - 中文: ""茶""
Deutsch: ""Art"" - 中文: ""种""
Deutsch: ""Norden"" - 中文: ""","[30662, 232]",北,"[302, 15459, 694, 29876, 1217, 6641, 3643]",north,Norden
"Deutsch: ""Standort"" - 中文: ""址""
Deutsch: ""Tür"" - 中文: ""门""
Deutsch: ""Gegenstand"" - 中文: ""项""
Deutsch: ""Herz"" - 中文: ""心""
Deutsch: ""Maschine"" - 中文: ""","[31429, 233]",机,"[7672, 5825, 4933, 286, 29885, 8628, 655, 611, 23523]",machine,Maschine
"Deutsch: ""Farbe"" - 中文: ""色""
Deutsch: ""Maschine"" - 中文: ""机""
Deutsch: ""Welle"" - 中文: ""波""
Deutsch: ""Feuer"" - 中文: ""火""
Deutsch: ""Zeit"" - 中文: ""","[30594, 233]",时,"[2034, 29873, 9346, 2230, 931, 19538, 260, 5335]",time,Zeit
"Deutsch: ""Mutter"" - 中文: ""母""
Deutsch: ""Tugend"" - 中文: ""德""
Deutsch: ""Mund"" - 中文: ""口""
Deutsch: ""fünf"" - 中文: ""五""
Deutsch: ""Nutzen"" - 中文: ""","[31107, 232]",利,"[29890, 1785, 367, 3856, 915, 289, 13982, 7795, 14169]",benefit,Nutzen
"Deutsch: ""acht"" - 中文: ""八""
Deutsch: ""drei"" - 中文: ""三""
Deutsch: ""Anstieg"" - 中文: ""起""
Deutsch: ""Niederlage"" - 中文: ""败""
Deutsch: ""Provinz"" - 中文: ""","[31600, 234]",省,"[771, 29886, 282, 410, 558, 16123, 544, 8482, 1326, 12291]",province,Provinz
"Deutsch: ""Macht"" - 中文: ""力""
Deutsch: ""Haushalt"" - 中文: ""户""
Deutsch: ""Wort"" - 中文: ""字""
Deutsch: ""Brücke"" - 中文: ""桥""
Deutsch: ""Börse"" - 中文: ""","[31398, 231]",交,"[6543, 5566, 735, 321, 29872, 14523, 429]",exchange,Börse
"Deutsch: ""Art"" - 中文: ""种""
Deutsch: ""Abschnitt"" - 中文: ""段""
Deutsch: ""Beispiel"" - 中文: ""例""
Deutsch: ""Netz"" - 中文: ""网""
Deutsch: ""Mitte"" - 中文: ""","[30275, 231]",中,"[286, 2460, 7256, 29885, 6563, 7145, 17662, 3737]",middle,Mitte
"Deutsch: ""eins"" - 中文: ""一""
Deutsch: ""Wald"" - 中文: ""林""
Deutsch: ""Höhle"" - 中文: ""洞""
Deutsch: ""Tal"" - 中文: ""谷""
Deutsch: ""Freund"" - 中文: ""","[31373, 232]",友,"[29888, 3484, 1424, 7932, 5121, 1341, 18326, 285]",friend,Freund
"Deutsch: ""Teil"" - 中文: ""部""
Deutsch: ""Geschwindigkeit"" - 中文: ""速""
Deutsch: ""Wald"" - 中文: ""林""
Deutsch: ""Welle"" - 中文: ""波""
Deutsch: ""Farbe"" - 中文: ""","[31085, 235]",色,"[29883, 784, 10965, 2780, 1054, 1111, 274, 2927, 1302]",color,Farbe
"Deutsch: ""Süden"" - 中文: ""南""
Deutsch: ""Mitte"" - 中文: ""中""
Deutsch: ""Mutter"" - 中文: ""母""
Deutsch: ""Wasser"" - 中文: ""水""
Deutsch: ""Art"" - 中文: ""","[31893, 234]",种,"[9089, 19015, 29895, 1984, 8506, 2924, 413, 14380]",kind,Art
"Deutsch: ""Schwanz"" - 中文: ""尾""
Deutsch: ""Quadrat"" - 中文: ""方""
Deutsch: ""Auge"" - 中文: ""目""
Deutsch: ""Tee"" - 中文: ""茶""
Deutsch: ""Richter"" - 中文: ""","[31791, 232]",判,"[432, 3623, 17675, 6577, 16833, 29926, 4900]",judge,Richter
"Deutsch: ""Richter"" - 中文: ""判""
Deutsch: ""Paar"" - 中文: ""双""
Deutsch: ""Meer"" - 中文: ""海""
Deutsch: ""Blume"" - 中文: ""花""
Deutsch: ""Schule"" - 中文: ""","[31071, 233]",校,"[1557, 27041, 3762, 269, 885, 816, 1364, 29879]",school,Schule
"Deutsch: ""fünf"" - 中文: ""五""
Deutsch: ""Stadt"" - 中文: ""城""
Deutsch: ""Mutter"" - 中文: ""母""
Deutsch: ""acht"" - 中文: ""八""
Deutsch: ""Krawatte"" - 中文: ""","[31320, 234]",结,"[2034, 29873, 22134, 19538, 260]",tie,Krawatte
"Deutsch: ""Wald"" - 中文: ""林""
Deutsch: ""Punkt"" - 中文: ""点""
Deutsch: ""Blume"" - 中文: ""花""
Deutsch: ""Straße"" - 中文: ""街""
Deutsch: ""Beispiel"" - 中文: ""","[31507, 231]",例,"[4392, 735, 1342, 321, 29872, 4773, 429]",example,Beispiel
"Deutsch: ""Anstieg"" - 中文: ""起""
Deutsch: ""Stern"" - 中文: ""星""
Deutsch: ""sechs"" - 中文: ""六""
Deutsch: ""Kind"" - 中文: ""子""
Deutsch: ""Gesicht"" - 中文: ""","[30806, 236]",面,"[29888, 5444, 2161, 4024, 17470, 3700, 2258, 285]",face,Gesicht
"Deutsch: ""Ball"" - 中文: ""球""
Deutsch: ""Reis"" - 中文: ""米""
Deutsch: ""zehn"" - 中文: ""十""
Deutsch: ""Gesetz"" - 中文: ""法""
Deutsch: ""Brücke"" - 中文: ""","[31749, 233]",桥,"[29890, 28635, 1506, 19515, 18419, 12945, 289, 1182]",bridge,Brücke
"Deutsch: ""Farbe"" - 中文: ""色""
Deutsch: ""Niederlage"" - 中文: ""败""
Deutsch: ""Berg"" - 中文: ""山""
Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Gegenstand"" - 中文: ""","[31888, 236]",项,"[277, 372, 568, 667, 2944, 29875, 474]",item,Gegenstand
