lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked,error
en,station,station,"A ""station"" is a place where trains or buses regularly stop so that passengers can get on or off. Answer: ""station"".","A ""station"" is a place where trains or buses regularly stop so that passengers can get on or off. Answer: ""station"".","A ""___"" is a place where trains or buses regularly stop so that passengers can get on or off. Answer: ""station"".",no error
en,rice,rice,"A ""rice"" is a grain that is commonly used in cooking and is a staple food in many countries. Answer: ""rice"".","A ""rice"" is a grain that is commonly used in cooking and is a staple food in many countries. Answer: ""rice"".","A ""___"" is a grain that is commonly used in cooking and is a staple food in many countries. Answer: ""rice"".",no error
en,red,red,"'A ""red"" is a color often associated with love and passion. Answer: ""red"".'","'A ""red"" is a color often associated with love and passion. Answer: ""red"".'","'A ""___"" is a color often associated with love and passion. Answer: ""red"".",no error
en,line,line,"A ""line"" is a narrow continuous mark, as that made by a pen, pencil, or brush. Answer: ""line"".","A ""line"" is a narrow continuous mark, as that made by a pen, pencil, or brush. Answer: ""line"".","A ""___"" is a narrow continuous mark, as that made by a pen, pencil, or brush. Answer: ""line"".",no error
en,net,net,"A ""net"" is used in sports like volleyball and tennis to divide the playing area. Answer: ""net"".","A ""net"" is used in sports like volleyball and tennis to divide the playing area. Answer: ""net"".","A ""___"" is used in sports like volleyball and tennis to divide the playing area. Answer: ""net"".",no error
en,flower,flower,"A ""flower"" is often given as a gift and can be found in gardens. Answer: ""flower"".","A ""flower"" is often given as a gift and can be found in gardens. Answer: ""flower"".","A ""___"" is often given as a gift and can be found in gardens. Answer: ""flower"".",no error
en,tea,tea,"A ""tea"" is a beverage often consumed for relaxation or warmth. Answer: ""tea"".","A ""tea"" is a beverage often consumed for relaxation or warmth. Answer: ""tea"".","A ""___"" is a beverage often consumed for relaxation or warmth. Answer: ""tea"".",no error
en,foot,foot,"A ""foot"" is used for walking and running. Answer: ""foot"".","A ""foot"" is used for walking and running. Answer: ""foot"".","A ""___"" is used for walking and running. Answer: ""foot"".",no error
en,gold,gold,"""A ""gold"" is a precious metal that is often used in jewelry. Answer: ""gold"".""","""A ""gold"" is a precious metal that is often used in jewelry. Answer: ""gold"".""","""A ""___"" is a precious metal that is often used in jewelry. Answer: ""gold"".",no error
en,door,door,"A ""door"" is used for entering or exiting a room. Answer: ""door"".","A ""door"" is used for entering or exiting a room. Answer: ""door"".","A ""___"" is used for entering or exiting a room. Answer: ""door"".",no error
en,snow,snow,"""A ""snow"" is a form of precipitation that falls from the sky during winter. Answer: ""snow"".""","""A ""snow"" is a form of precipitation that falls from the sky during winter. Answer: ""snow"".""","""A ""___"" is a form of precipitation that falls from the sky during winter. Answer: ""snow"".",no error
en,horse,horse,"A ""horse"" is a large domesticated animal with four legs, commonly used for riding and racing. Answer: ""horse"".","A ""horse"" is a large domesticated animal with four legs, commonly used for riding and racing. Answer: ""horse"".","A ""___"" is a large domesticated animal with four legs, commonly used for riding and racing. Answer: ""horse"".",no error
en,one,one,"A ""one"" is a number that comes after zero and before two. Answer: ""one"".","A ""one"" is a number that comes after zero and before two. Answer: ""one"".","A ""___"" is a number that comes after zero and before two. Answer: ""one"".",no error
en,two,two,"The number ""two"" is the sum of one plus one. Answer: ""two"".","The number ""two"" is the sum of one plus one. Answer: ""two"".","The number ""___"" is the sum of one plus one. Answer: ""two"".",no error
en,three,three,"The number that comes after two is ""three"". Answer: ""three"".","The number that comes after two is ""three"". Answer: ""three"".","The number that comes after two is ""___"". Answer: ""three"".",no error
en,four,four,"The number ""four"" is the integer that comes after three. Answer: ""four"".","The number ""four"" is the integer that comes after three. Answer: ""four"".","The number ""___"" is the integer that comes after three. Answer: ""four"".",no error
en,five,five,"The number that comes after four is ""five"". Answer: ""five"".","The number that comes after four is ""five"". Answer: ""five"".","The number that comes after four is ""___"". Answer: ""five"".",no error
en,six,six,"The number that comes after five is ""six"". Answer: ""six"".","The number that comes after five is ""six"". Answer: ""six"".","The number that comes after five is ""___"". Answer: ""six"".",no error
en,seven,seven,"The number ""seven"" comes after six. Answer: ""seven"".","The number ""seven"" comes after six. Answer: ""seven"".","The number ""___"" comes after six. Answer: ""seven"".",no error
en,eight,eight,"The number ""eight"" comes after seven. Answer: ""eight"".","The number ""eight"" comes after seven. Answer: ""eight"".","The number ""___"" comes after seven. Answer: ""eight"".",no error
en,nine,nine,"The number that comes after eight is ""nine"". Answer: ""nine"".","The number that comes after eight is ""nine"". Answer: ""nine"".","The number that comes after eight is ""___"". Answer: ""nine"".",no error
en,ten,ten,"The number that comes after nine is ""ten"". Answer: ""ten"".","The number that comes after nine is ""ten"". Answer: ""ten"".","The number that comes after nine is ""___"". Answer: ""ten"".",no error
en,head,head,"'A ""head"" is a part of the body that contains the brain, eyes, ears, nose, and mouth. Answer: ""head"".'","'A ""head"" is a part of the body that contains the brain, eyes, ears, nose, and mouth. Answer: ""head"".'","'A ""___"" is a part of the body that contains the brain, eyes, ears, nose, and mouth. Answer: ""head"".",no error
en,shop,shop,"A ""shop"" is a place where you can buy goods or services. Answer: ""shop"".","A ""shop"" is a place where you can buy goods or services. Answer: ""shop"".","A ""___"" is a place where you can buy goods or services. Answer: ""shop"".",no error
en,strip,strip,"A ""strip"" is a long, narrow piece of a certain material. Answer: ""strip"".","A ""strip"" is a long, narrow piece of a certain material. Answer: ""strip"".","A ""___"" is a long, narrow piece of a certain material. Answer: ""strip"".",no error
en,street,street,"A ""street"" is a public road in a city, town, or village. Answer: ""street"".","A ""street"" is a public road in a city, town, or village. Answer: ""street"".","A ""___"" is a public road in a city, town, or village. Answer: ""street"".",no error
en,part,part,"A ""part"" is used to make up a whole. Answer: ""part"".","A ""part"" is used to make up a whole. Answer: ""part"".","A ""___"" is used to make up a whole. Answer: ""part"".",no error
en,eye,eye,"A ""eye"" is used to see everything around us. Answer: ""eye"".","A ""eye"" is used to see everything around us. Answer: ""eye"".","A ""___"" is used to see everything around us. Answer: ""eye"".",no error
en,field,field,"A ""field"" is a wide area of open land where crops are grown. Answer: ""field"".","A ""field"" is a wide area of open land where crops are grown. Answer: ""field"".","A ""___"" is a wide area of open land where crops are grown. Answer: ""field"".",no error
en,site,site,"A ""site"" is a location where something is, was, or will be built. Answer: ""site"".","A ""site"" is a location where something is, was, or will be built. Answer: ""site"".","A ""___"" is a location where something is, was, or will be built. Answer: ""site"".",no error
en,dance,dance,"A ""dance"" is a form of art that involves movement of the body, usually rhythmic and to music. Answer: ""dance"".","A ""dance"" is a form of art that involves movement of the body, usually rhythmic and to music. Answer: ""dance"".","A ""___"" is a form of art that involves movement of the body, usually rhythmic and to music. Answer: ""dance"".",no error
en,word,word,"A ""word"" is a single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed. Answer: ""word"".","A ""word"" is a single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed. Answer: ""word"".","A ""___"" is a single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed. Answer: ""word"".",no error
en,pair,pair,"""A ""pair"" is a set of two things used together or regarded as a unit. Answer: ""pair"".""","""A ""pair"" is a set of two things used together or regarded as a unit. Answer: ""pair"".""","""A ""___"" is a set of two things used together or regarded as a unit. Answer: ""pair"".",no error
en,seat,seat,"A ""seat"" is used to sit and rest. Answer: ""seat"".","A ""seat"" is used to sit and rest. Answer: ""seat"".","A ""___"" is used to sit and rest. Answer: ""seat"".",no error
en,light,light,"A ""light"" is used to illuminate dark spaces. Answer: ""light"".","A ""light"" is used to illuminate dark spaces. Answer: ""light"".","A ""___"" is used to illuminate dark spaces. Answer: ""light"".",no error
en,thousand,thousand,"A ""thousand"" is a numerical value that comes after nine hundred ninety-nine. Answer: ""thousand"".","A ""thousand"" is a numerical value that comes after nine hundred ninety-nine. Answer: ""thousand"".","A ""___"" is a numerical value that comes after nine hundred ninety-nine. Answer: ""thousand"".",no error
en,north,north,"""The ""north"" is a cardinal direction often associated with cold and polar regions. Answer: ""north"".""","""The ""north"" is a cardinal direction often associated with cold and polar regions. Answer: ""north"".""","""The ""___"" is a cardinal direction often associated with cold and polar regions. Answer: ""north"".",no error
en,machine,machine,"A ""machine"" is used to perform a specific task or produce something. Answer: ""machine"".","A ""machine"" is used to perform a specific task or produce something. Answer: ""machine"".","A ""___"" is used to perform a specific task or produce something. Answer: ""machine"".",no error
en,time,time,"""A ""clock"" is used to measure ""time"". Answer: ""time"".""","""A ""clock"" is used to measure ""time"". Answer: ""time"".""","""A ""clock"" is used to measure ""___"". Answer: ""time"".",no error
en,benefit,benefit,"A ""benefit"" is something that promotes or enhances well-being. Answer: ""benefit"".","A ""benefit"" is something that promotes or enhances well-being. Answer: ""benefit"".","A ""___"" is something that promotes or enhances well-being. Answer: ""benefit"".",no error
en,position,position,"A ""position"" is a place where someone or something is located or has been put. Answer: ""position"".","A ""position"" is a place where someone or something is located or has been put. Answer: ""position"".","A ""___"" is a place where someone or something is located or has been put. Answer: ""position"".",no error
en,province,province,"A ""province"" is a principal administrative division of certain countries or empires. Answer: ""province"".","A ""province"" is a principal administrative division of certain countries or empires. Answer: ""province"".","A ""___"" is a principal administrative division of certain countries or empires. Answer: ""province"".",no error
en,exchange,exchange,"An ""exchange"" is a place where stocks, bonds, or other securities are bought and sold. Answer: ""exchange"".","An ""exchange"" is a place where stocks, bonds, or other securities are bought and sold. Answer: ""exchange"".","An ""___"" is a place where stocks, bonds, or other securities are bought and sold. Answer: ""exchange"".",no error
en,middle,middle,"""The ""middle"" is the point that is equally distant from the sides or outer boundaries of something. Answer: ""middle"".""","""The ""middle"" is the point that is equally distant from the sides or outer boundaries of something. Answer: ""middle"".""","""The ""___"" is the point that is equally distant from the sides or outer boundaries of something. Answer: ""middle"".",no error
en,friend,friend,"A ""friend"" is someone you share a close personal relationship with. Answer: ""friend"".","A ""friend"" is someone you share a close personal relationship with. Answer: ""friend"".","A ""___"" is someone you share a close personal relationship with. Answer: ""friend"".",no error
en,color,color,"""A ""color"" is used to identify or describe the appearance of objects. Answer: ""color"".""","""A ""color"" is used to identify or describe the appearance of objects. Answer: ""color"".""","""A ""___"" is used to identify or describe the appearance of objects. Answer: ""color"".",no error
en,kind,kind,"""A ""kind"" is a category or type of something. Answer: ""kind"".""","""A ""kind"" is a category or type of something. Answer: ""kind"".""","""A ""___"" is a category or type of something. Answer: ""kind"".",no error
en,judge,judge,"A ""judge"" is a person who presides over court proceedings, either alone or as a part of a panel of judges. Answer: ""judge"".","A ""judge"" is a person who presides over court proceedings, either alone or as a part of a panel of judges. Answer: ""judge"".","A ""___"" is a person who presides over court proceedings, either alone or as a part of a panel of judges. Answer: ""judge"".",no error
en,school,school,"A ""school"" is a place where students go to learn. Answer: ""school"".","A ""school"" is a place where students go to learn. Answer: ""school"".","A ""___"" is a place where students go to learn. Answer: ""school"".",no error
en,structure,structure,"A ""structure"" is a construction that has a specific purpose or function. Answer: ""structure"".","A ""structure"" is a construction that has a specific purpose or function. Answer: ""structure"".","A ""___"" is a construction that has a specific purpose or function. Answer: ""structure"".",no error
en,tie,tie,"A ""tie"" is worn around the neck as part of formal attire. Answer: ""tie"".","A ""tie"" is worn around the neck as part of formal attire. Answer: ""tie"".","A ""___"" is worn around the neck as part of formal attire. Answer: ""tie"".",no error
en,example,example,"An ""example"" is used to illustrate a point or concept. Answer: ""example"".","An ""example"" is used to illustrate a point or concept. Answer: ""example"".","An ""___"" is used to illustrate a point or concept. Answer: ""example"".",no error
en,face,face,"A ""face"" is the front part of a person's head, including the forehead, eyes, nose, and mouth. Answer: ""face"".","A ""face"" is the front part of a person's head, including the forehead, eyes, nose, and mouth. Answer: ""face"".","A ""___"" is the front part of a person's head, including the forehead, eyes, nose, and mouth. Answer: ""face"".",no error
en,bridge,bridge,"A ""bridge"" is used to connect two areas separated by obstacles like rivers or roads. Answer: ""bridge"".","A ""bridge"" is used to connect two areas separated by obstacles like rivers or roads. Answer: ""bridge"".","A ""___"" is used to connect two areas separated by obstacles like rivers or roads. Answer: ""bridge"".",no error
en,item,item,"An ""item"" is a thing that is unspecified or unidentified. Answer: ""item"".","An ""item"" is a thing that is unspecified or unidentified. Answer: ""item"".","An ""___"" is a thing that is unspecified or unidentified. Answer: ""item"".",no error
en,delete,delete,"A ""delete"" is used to remove text or data. Answer: ""delete"".","A ""delete"" is used to remove text or data. Answer: ""delete"".","A ""___"" is used to remove text or data. Answer: ""delete"".",no error
en,group,group,"'A ""group"" is a number of people or things that are located, gathered, or classed together. Answer: ""group"".'","'A ""group"" is a number of people or things that are located, gathered, or classed together. Answer: ""group"".'","'A ""___"" is a number of people or things that are located, gathered, or classed together. Answer: ""group"".",no error
en,talent,talent,"A ""talent"" is a natural aptitude or skill. Answer: ""talent"".","A ""talent"" is a natural aptitude or skill. Answer: ""talent"".","A ""___"" is a natural aptitude or skill. Answer: ""talent"".",no error
en,beauty,beauty,"'""Beauty"" is a characteristic that provides a perceptual experience of pleasure or satisfaction. Answer: ""beauty"".'","'""Beauty"" is a characteristic that provides a perceptual experience of pleasure or satisfaction. Answer: ""beauty"".'","'""___"" is a characteristic that provides a perceptual experience of pleasure or satisfaction. Answer: ""beauty"".",no error
en,platform,platform,"A ""platform"" is used to support or raise something. Answer: ""platform"".","A ""platform"" is used to support or raise something. Answer: ""platform"".","A ""___"" is used to support or raise something. Answer: ""platform"".",no error
en,house,house,"A ""house"" is a place where people live. Answer: ""house"".","A ""house"" is a place where people live. Answer: ""house"".","A ""___"" is a place where people live. Answer: ""house"".",no error
en,sun,sun,"The ""sun"" is a star at the center of the Solar System that provides light and heat to Earth. Answer: ""sun"".","The ""sun"" is a star at the center of the Solar System that provides light and heat to Earth. Answer: ""sun"".","The ""___"" is a star at the center of the Solar System that provides light and heat to Earth. Answer: ""sun"".",no error
en,meeting,meeting,"A ""meeting"" is a gathering of people for a specific purpose, often for discussion or decision-making. Answer: ""meeting"".","A ""meeting"" is a gathering of people for a specific purpose, often for discussion or decision-making. Answer: ""meeting"".","A ""___"" is a gathering of people for a specific purpose, often for discussion or decision-making. Answer: ""meeting"".",no error
en,history,history,"""The study of past events, particularly in human affairs"" is known as ""history"". Answer: ""history"".","""The study of past events, particularly in human affairs"" is known as ""history"". Answer: ""history"".","""The study of past events, particularly in human affairs"" is known as ""___"". Answer: ""history"".",no error
en,valley,valley,"A ""valley"" is a low area between hills or mountains typically with a river running through it. Answer: ""valley"".","A ""valley"" is a low area between hills or mountains typically with a river running through it. Answer: ""valley"".","A ""___"" is a low area between hills or mountains typically with a river running through it. Answer: ""valley"".",no error
en,square,square,"A ""square"" is a shape with four equal sides and four right angles. Answer: ""square"".","A ""square"" is a shape with four equal sides and four right angles. Answer: ""square"".","A ""___"" is a shape with four equal sides and four right angles. Answer: ""square"".",no error
en,generation,generation,"""A ""generation"" is a term used to describe all of the people born and living at about the same time. Answer: ""generation"".""","""A ""generation"" is a term used to describe all of the people born and living at about the same time. Answer: ""generation"".""","""A ""___"" is a term used to describe all of the people born and living at about the same time. Answer: ""generation"".",no error
en,south,south,"""The ""south"" is a cardinal direction opposite to north. Answer: ""south"".""","""The ""south"" is a cardinal direction opposite to north. Answer: ""south"".""","""The ""___"" is a cardinal direction opposite to north. Answer: ""south"".",no error
en,virtue,virtue,"A ""virtue"" is a quality considered morally good or desirable in a person. Answer: ""virtue"".","A ""virtue"" is a quality considered morally good or desirable in a person. Answer: ""virtue"".","A ""___"" is a quality considered morally good or desirable in a person. Answer: ""virtue"".",no error
en,tribe,tribe,"A ""tribe"" is a social division in a traditional society consisting of families or communities linked by social, economic, religious, or blood ties. Answer: ""tribe"".","A ""tribe"" is a social division in a traditional society consisting of families or communities linked by social, economic, religious, or blood ties. Answer: ""tribe"".","A ""___"" is a social division in a traditional society consisting of families or communities linked by social, economic, religious, or blood ties. Answer: ""tribe"".",no error
en,city,city,"A ""city"" is a large human settlement where people live and work. Answer: ""city"".","A ""city"" is a large human settlement where people live and work. Answer: ""city"".","A ""___"" is a large human settlement where people live and work. Answer: ""city"".",no error
en,language,language,"A ""language"" is used to communicate thoughts and ideas. Answer: ""language"".","A ""language"" is used to communicate thoughts and ideas. Answer: ""language"".","A ""___"" is used to communicate thoughts and ideas. Answer: ""language"".",no error
en,speed,speed,"""A ""speed"" is used to measure how fast something is moving. Answer: ""speed"".""","""A ""speed"" is used to measure how fast something is moving. Answer: ""speed"".""","""A ""___"" is used to measure how fast something is moving. Answer: ""speed"".",no error
en,ground,ground,"""A ""ground"" is where we walk and build houses on. Answer: ""ground"".""","""A ""ground"" is where we walk and build houses on. Answer: ""ground"".""","""A ""___"" is where we walk and build houses on. Answer: ""ground"".",no error
en,advance,advance,"""Advance"" is a term used to describe moving forward or making progress. Answer: ""advance"".","""Advance"" is a term used to describe moving forward or making progress. Answer: ""advance"".","""___"" is a term used to describe moving forward or making progress. Answer: ""advance"".",no error
en,attempt,attempt,"An ""attempt"" is made when trying to achieve something. Answer: ""attempt"".","An ""attempt"" is made when trying to achieve something. Answer: ""attempt"".","An ""___"" is made when trying to achieve something. Answer: ""attempt"".",no error
en,defeat,defeat,"""A ""defeat"" is experienced when one loses a competition or battle. Answer: ""defeat"".""","""A ""defeat"" is experienced when one loses a competition or battle. Answer: ""defeat"".""","""A ""___"" is experienced when one loses a competition or battle. Answer: ""defeat"".",no error
en,tail,tail,"A ""tail"" is a part of an animal's body that extends from the base of the spine. Answer: ""tail"".","A ""tail"" is a part of an animal's body that extends from the base of the spine. Answer: ""tail"".","A ""___"" is a part of an animal's body that extends from the base of the spine. Answer: ""tail"".",no error
en,mother,mother,"A ""mother"" is a woman who has given birth to a child. Answer: ""mother"".","A ""mother"" is a woman who has given birth to a child. Answer: ""mother"".","A ""___"" is a woman who has given birth to a child. Answer: ""mother"".",no error
en,east,east,"""The ""east"" is a cardinal direction opposite of west. Answer: ""east"".""","""The ""east"" is a cardinal direction opposite of west. Answer: ""east"".""","""The ""___"" is a cardinal direction opposite of west. Answer: ""east"".",no error
en,return,return,"A ""return"" is used to give back a purchased item. Answer: ""return"".","A ""return"" is used to give back a purchased item. Answer: ""return"".","A ""___"" is used to give back a purchased item. Answer: ""return"".",no error
en,speech,speech,"""A ""speech"" is a formal address or discourse delivered to an audience. Answer: ""speech"".""","""A ""speech"" is a formal address or discourse delivered to an audience. Answer: ""speech"".""","""A ""___"" is a formal address or discourse delivered to an audience. Answer: ""speech"".",no error
en,child,child,"'A ""child"" is a young human being below the age of puberty. Answer: ""child"".'","'A ""child"" is a young human being below the age of puberty. Answer: ""child"".'","'A ""___"" is a young human being below the age of puberty. Answer: ""child"".",no error
en,tower,tower,"A ""tower"" is a tall structure that can be used for various purposes such as observation, communication, or storage. Answer: ""tower"".","A ""tower"" is a tall structure that can be used for various purposes such as observation, communication, or storage. Answer: ""tower"".","A ""___"" is a tall structure that can be used for various purposes such as observation, communication, or storage. Answer: ""tower"".",no error
en,hair,hair,"A ""hair"" is found on the heads of humans and animals. Answer: ""hair"".","A ""hair"" is found on the heads of humans and animals. Answer: ""hair"".","A ""___"" is found on the heads of humans and animals. Answer: ""hair"".",no error
en,household,household,"A ""household"" is a term used to describe a residential unit where people live. Answer: ""household"".","A ""household"" is a term used to describe a residential unit where people live. Answer: ""household"".","A ""___"" is a term used to describe a residential unit where people live. Answer: ""household"".",no error
en,person,person,"'A ""person"" is a human being regarded as an individual. Answer: ""person"".'","'A ""person"" is a human being regarded as an individual. Answer: ""person"".'","'A ""___"" is a human being regarded as an individual. Answer: ""person"".",no error
en,section,section,"A ""section"" is a distinct part or subdivision of something. Answer: ""section"".","A ""section"" is a distinct part or subdivision of something. Answer: ""section"".","A ""___"" is a distinct part or subdivision of something. Answer: ""section"".",no error
